name_english,name_native,description,origin_country,origin_region,development_year,parentage,also_known_as,plant_type,optimal_environment,geographic_distribution,tea_expressions,sensory_footprint,processing_suitability_details,oxidation_details,roasting_details,style_versatility
Huangshan Qunti Zhong,黄山群体种,"'Huangshan Population'. The local, genetically diverse heirloom population of tea plants from the famous Huangshan (Yellow Mountain) scenic area. This is the authentic material for creating Huangshan Maofeng, a beloved green tea known for its light, sweet, and refreshingly floral character, often with notes of magnolia.",China,"Huangshan, Anhui",0,"The native, seed-propagated heirloom population of the Huangshan scenic area.","Huangshan Maofeng","Variable growth habits due to genetic diversity; typically medium-sized bushes (Camellia sinensis var. sinensis).","Grows at high altitudes (700-800m) in the cloudy, misty, and cool environment of Huangshan. The rich soil and constant cloud cover create a very sweet and tender leaf.","{""china"": [""Anhui Province (Huangshan - particularly the areas around Taohua Feng (Peach Blossom Peak))""]}","{""Green Tea"": {""Huangshan Maofeng"": ""Its sole expression. A gently processed green tea consisting of a bud and one or two leaves. It is lightly baked rather than pan-fired, preserving a fresh, floral character.""}}","{""aroma"": ""Fresh cut grass, elegant floral notes like Magnolia and Orchid"", ""flavor"": ""Naturally sweet, light, and refreshing with no bitterness and a clean, long-lasting floral aftertaste."", ""mouthfeel_liquor"": ""Smooth, light, and mellow with a very clean texture. The liquor is a clear, pale apricot color.""}","The processing of Huangshan Maofeng is simpler than many famous teas. After a short withering, the leaves undergo a 'kill-green' and shaping process in a large pan, followed by a careful baking process to dry.","Zero oxidation. The 'kill-green' step is done quickly after harvest to lock in the fresh, vegetal and floral notes of the leaf.","The key step is a low-temperature bake ('hong bei'). Unlike the high heat of pan-firing, this gentle baking process slowly removes moisture while preserving the tea's delicate floral aroma and natural sweetness.","Completely specialized. This heirloom population is used exclusively to make the sweet, floral green tea known as Huangshan Maofeng."
Shi Da Cha,柿大茶,"'Persimmon Big Tea'. A truly unique and visually stunning cultivar from Taiping county in Anhui. It is defined by its massive leaves, which can be much larger than a person's hand. It is used exclusively to make Tai Ping Hou Kui, a green tea where the leaves are painstakingly pressed by hand, resulting in a long, flat, and beautiful finished product.",China,"Taiping, Anhui",1901,"A local, large-leaf mutation of C. sinensis var. sinensis.","Persimmon Big Tea, Tai Ping Hou Kui cultivar","Large, robust bush with very strong branches to support its massive leaves (Camellia sinensis var. sinensis).","Grows in the misty, mountainous region of the former Taiping prefecture (now Huangshan district), where the specific microclimate allows these large leaves to grow tenderly.","{""china"": [""Anhui Province (Huangshan City - former Taiping County area)""]}","{""Green Tea"": {""Tai Ping Hou Kui ('Peaceful Monkey Leader')"": ""Its only expression. A green tea where individual, massive leaves are pan-fired and then pressed flat between layers of cloth, creating a visually unique tea with a powerful orchid aroma.""}}","{""aroma"": ""Powerful and lingering Orchid fragrance, fresh, clean, and slightly vegetal"", ""flavor"": ""Mellow, sweet, and smooth with a deep, lasting floral sweetness and no bitterness."", ""mouthfeel_liquor"": ""Thick, soupy, and incredibly smooth with a very refreshing character. The liquor is a clear, bright green-yellow.""}","The processing is highly specialized and laborious. After kill-green, each individual leaf is placed between layers of cloth and hand-pressed with rollers to create its flat, uniform shape. This requires immense patience and skill.","Zero oxidation. The massive leaves are quickly pan-fired to halt enzymatic activity and preserve their vibrant green color and fresh aroma.","A gentle baking process follows the hand-pressing to slowly and evenly dry the large, thick leaves without scorching them or creating a roasted flavor.","Completely specialized. This unique, giant-leaf cultivar exists only to be made into the singular and iconic Tai Ping Hou Kui."
Liu An Gua Pian,六安瓜片,"'Lu'an Melon Slice'. A unique and famous Chinese green tea from Anhui, notable for what it lacks: it is made entirely from mature leaves, with all buds and stems meticulously removed. The finished tea, resembling melon seeds, is baked, not pan-fired, giving it a complex, toasty, and vegetal flavor.",China,"Lu'an, Anhui",1644,"Local Qishan heirloom population ('Qishan Qunti Zhong').","Melon Slice Tea","Hardy, medium-sized bushes from the local heirloom population (Camellia sinensis var. sinensis).","Grows in the hilly, temperate climate of Lu'an City in western Anhui, particularly in the Qishan mountain range.","{""china"": [""Anhui Province (Lu'an City, specifically Jinzhai and Yu'an districts)""]}","{""Green Tea (Baked)"": {""Liu An Gua Pian"": ""Its sole expression. A baked green tea made from single, de-stemmed mature leaves, which are shaped and repeatedly baked over charcoal fires.""}}","{""aroma"": ""Toasty, sweet corn, vegetal, hint of floral high notes"", ""flavor"": ""Complex, rich, and mellow with a balance of toasted and fresh vegetal flavors, and a very smooth, sweet finish."", ""mouthfeel_liquor"": ""Thick, rich, and smooth with a very satisfying, full texture. The liquor is a clear, bright greenish-yellow.""}","The processing is unique. After picking, the leaves are de-stemmed and de-veined by hand. They are then wok-fired to kill-green and shape, followed by a multi-stage, slow baking process over charcoal fires, which is crucial for developing its flavor.","Zero oxidation. The leaves undergo a rapid 'kill-green' in a wok to halt all enzymatic processes.","Roasting is the defining characteristic. The tea is baked multiple times over charcoal fires of varying intensity. This 'lao huo' (old fire) process builds a deep, complex, and toasty flavor without any smokiness.","Extremely specialized. This cultivar and its unique processing method (no buds/stems, baked) are inseparable from the identity of Liu An Gua Pian."
Mengding Ganlu,蒙顶甘露,"'Mengding Sweet Dew'. An ancient and celebrated green tea from Mengding Mountain in Sichuan, often cited as one of the oldest forms of tribute tea in China. It is known for its delicate, tightly rolled leaves covered in fine down, and a fresh, complex flavor profile that balances umami, sweetness, and a lasting floral aroma.",China,"Mengding Mountain, Sichuan",0,"Traditionally a local heirloom population; modern production often uses clones like 'Mengshan #9'.","Sweet Dew","Small-leaf, downy-bud cultivar, adapted to high-altitude growth (Camellia sinensis var. sinensis).","Grows on the perennially misty and rainy slopes of Mengding Mountain, where the constant cloud cover and rich soil create very tender and flavorful leaves.","{""china"": [""Sichuan Province (Ya'an - Mengding Mountain)""]}","{""Green Tea"": {""Mengding Ganlu"": ""A very fine green tea made from tender buds and leaves. The processing involves a three-stage rolling and drying process to create its twisted, downy appearance and lock in its aroma.""}}","{""aroma"": ""Toasted nuts, sweet florals, fresh vegetal notes"", ""flavor"": ""Lasting sweetness, distinct umami, and a clean, refreshing aftertaste."", ""mouthfeel_liquor"": ""Smooth, mellow, and thick, with a rich texture from the abundant leaf hairs. The liquor is a clear, bright yellow-green.""}","Processing involves a sequence of pan-firing to kill-green, followed by multiple stages of intricate hand-rolling and drying. This complex rolling technique is what creates the tightly twisted shape and develops the tea's deep flavor.","Zero oxidation. The leaves are quickly pan-fired after harvest to halt all oxidation.","No roasting. The tea is dried using the heat from the pan-firing and subsequent drying steps. The focus is on shape and preserving fresh flavor, not on a baked or roasted character.","Highly specialized. The cultivar is intrinsically linked to the Mengding Ganlu style of processed green tea."
Da Ye Zhong,大叶种,"'Big Leaf Variety'. This is not a single clonal cultivar but rather the botanical varietal Camellia sinensis var. assamica, which is native to Yunnan province. It is the genetic mother of all Yunnan teas, characterized by its large leaves and ability to grow into a tall tree. It forms the basis for the rich, complex flavors of Pu'er and the malty sweetness of Dian Hong black tea.",China,"Yunnan",0,"The native, wild-growing botanical varietal of the region.","Yunnan Big Leaf","A true tree (arbor) that can grow many meters tall, with a strong trunk and large canopy (Camellia sinensis var. assamica).","Grows in the subtropical, mountainous, and high-rainfall environment of Yunnan province. Ancient tea forests with trees hundreds of years old are highly prized.","{""china"": [""Yunnan Province (all tea regions like Xishuangbanna, Lincang, Pu'er)""]}","{""Pu'er Tea"": {""Sheng (Raw) Pu'er"": ""Sun-dried green tea pressed into cakes for aging, yielding floral, fruity, and bitter notes when young, and deep, earthy, camphor notes when aged."", ""Shu (Ripe) Pu'er"": ""Artificially fermented green tea that mimics aging, resulting in a smooth, dark, earthy, and chocolatey profile.""}, ""Black Tea"": {""Dian Hong"": ""A fully oxidized black tea known for its malty, sweet potato, and caramel flavors.""}}","{""aroma"": ""Highly variable: floral, fruity, camphor (Pu'er); malty, chocolate, sweet potato (Black)"", ""flavor"": ""Robust, complex, often with a pleasant bitterness that transforms to sweetness (huigan)."", ""mouthfeel_liquor"": ""Thick, full-bodied, and powerful with a long and dynamic finish. Liquor ranges from bright yellow to deep red to black.""}","Its versatility is its key trait. For Pu'er, the leaves are pan-fired, then sun-dried, preserving enzymes for aging. For Dian Hong, the leaves are withered, rolled, and fully oxidized before being oven-dried.","Oxidation varies. Sheng Pu'er has minimal initial oxidation. Shu Pu'er is post-fermented. Dian Hong is 100% oxidized.","No roasting is used for Pu'er; sun-drying is essential. For Dian Hong, a final oven-drying bake is used.","Extremely versatile. This single botanical varietal is the foundation for the entire universe of Pu'er teas (both raw and ripe) and the famous Dian Hong black teas."
Mengku Da Ye Zhong,勐库大叶种,"'Mengku Big Leaf Variety'. A highly sought-after sub-variety of the Da Ye (Assamica) varietal, native to the Mengku region of Lincang, Yunnan. It is celebrated for its 'dual characteristics' of strong bitterness and powerful aroma, combined with a thick texture and an exceptionally fast and intense returning sweetness ('huigan').",China,"Lincang (Mengku), Yunnan",0,"A distinct local heirloom population of C. sinensis var. assamica.","Mengku Broad Leaf","Large, robust arbor tree with large, leathery leaves that have prominent veins (Camellia sinensis var. assamica).","Grows in the high-altitude, mountainous region of Mengku, particularly around Bingdao (Ice Island), which is famous for this cultivar.","{""china"": [""Yunnan Province (Lincang Prefecture, specifically Mengku Township)""]}","{""Sheng (Raw) Pu'er"": {""Mengku Pu'er"": ""Its exclusive expression. A powerful raw Pu'er prized for its strong character, excellent aging potential, and perfect balance of bitterness and sweetness.""}}","{""aroma"": ""Powerful and penetrating floral and honey fragrance"", ""flavor"": ""Initially strong and bitter, but it rapidly transforms into an intense, profound, and long-lasting sweetness (huigan)."", ""mouthfeel_liquor"": ""Thick, viscous, and powerful, with a strong energetic sensation ('cha qi'). The liquor is a bright, clear golden-yellow.""}","Processing is identical to other Sheng Pu'er teas: pan-firing to kill-green, rolling to shape, and crucially, sun-drying to preserve the enzymes necessary for long-term aging and fermentation.","Minimal oxidation (<5%) from processing, just like other Sheng Pu'er. The true transformation happens over years of aging.","No roasting. Sun-drying is the defining and required final step before the tea is steamed and compressed into cakes.","Extremely specialized. The Mengku Da Ye cultivar is one of the most prized materials for high-end, single-origin Sheng Pu'er."
Yiwu Da Ye Zhong,易武大叶种,"'Yiwu Big Leaf Variety'. A famous sub-variety of the Da Ye (Assamica) varietal from the historic Yiwu mountains, one of the original Six Great Tea Mountains. In contrast to the power of Mengku, Yiwu teas are prized for their exceptional softness, elegance, and 'rou' (柔) character. They are known for having very low bitterness, a thick, soupy texture, and a prominent floral fragrance.",China,"Xishuangbanna (Yiwu), Yunnan",0,"A distinct local heirloom population of C. sinensis var. assamica.","Yiwu Broad Leaf","Large arbor trees, often with a more sprawling growth habit and very large leaves (Camellia sinensis var. assamica).","Grows in the protected, high-humidity, and biodiverse forests of the Yiwu mountain range, which contributes to its elegant and gentle nature.","{""china"": [""Yunnan Province (Xishuangbanna Prefecture, specifically Yiwu Township)""]}","{""Sheng (Raw) Pu'er"": {""Yiwu Pu'er"": ""Its only expression. An elegant, soft, and highly aromatic raw Pu'er celebrated for its smooth texture and incredible aging potential into a very refined tea.""}}","{""aroma"": ""Elegant, high-pitched floral notes (wild orchid), honey, rock sugar"", ""flavor"": ""Very soft, gentle, and sweet with minimal bitterness and a long, cooling, sweet aftertaste."", ""mouthfeel_liquor"": ""Exceptionally thick, smooth, and soupy ('tang gan'). Coats the mouth and throat. The liquor is a clear, bright golden-yellow.""}","Processing follows the traditional Sheng Pu'er method (pan-fire, roll, sun-dry). The skill lies in preserving the tea's inherent softness and aromatic delicacy throughout the process.","Minimal oxidation (<5%) from processing. The focus is on preserving the gentle, floral nature of the fresh leaves for aging.","No roasting. Sun-drying is the essential final step that defines Pu'er and allows the tea to age gracefully over decades.","Extremely specialized. Yiwu Da Ye is a prized 'terroir-specific' cultivar used exclusively for making soft, elegant, and highly sought-after Sheng Pu'er."
Qing Xin,青心,"'Green Heart'. The undisputed king of Taiwanese oolongs, Qing Xin is celebrated for its ability to perfectly express the terroir of high-altitude tea gardens. It produces an oolong with an ethereal, elegant, and complex floral aroma, a remarkably thick, creamy mouthfeel, and a lingering sweet aftertaste. It is the benchmark for quality in Taiwan.",Taiwan,"High Mountains (Lishan, Alishan)",1885,"Selected from native Chinese heirloom population.","Green Heart, Ruan Zhi (Soft Stem)","Relatively small, delicate bush that requires careful cultivation (Camellia sinensis var. sinensis).","Requires a high-altitude (1,000-2,600m) environment with cool temperatures, persistent mist, and a large diurnal temperature range to develop its prized character.","{""taiwan"": [""Lishan"", ""Alishan"", ""Shan Lin Xi"", ""Dayuling""], ""thailand"": [""Doi Mae Salong""], ""vietnam"": [""Northern regions""]}","{""High Mountain Oolong (Gao Shan Cha)"": {""Lishan/Alishan/Shan Lin Xi Oolong"": ""Its highest expression. A lightly oxidized, unroasted, ball-shaped oolong with a thick, creamy body and incredibly elegant floral notes.""}, ""Baozhong Oolong"": {""Wenshan Baozhong"": ""A lightly oxidized, twisted-leaf oolong from lower elevations that showcases a fresh, green, floral profile.""}}","{""aroma"": ""Ethereal Lilac, Gardenia, Cream, fresh mountain air"", ""flavor"": ""Exceptionally smooth, buttery, and sweet with a clean, vegetal undertone."", ""mouthfeel_liquor"": ""Thick, soupy, and viscous with absolutely no astringency. The liquor is a very pale, clear golden-green.""}","Processing must be incredibly gentle to protect this delicate cultivar. The entire process for high mountain oolong is designed to showcase the pristine quality of the raw leaf, with minimal intervention.","Undergoes very light oxidation (15-25%). The withering is slow and done at cool temperatures to gently develop the complex, elegant floral aromatics without losing freshness.","Almost always unroasted. The final step is a very low-temperature bake to dry the tea completely. Any significant roast would destroy the delicate high-mountain character.","Highly versatile for oolong. It is the gold standard for high-end light oolongs (both ball-rolled and twisted) but lacks the robustness for heavy roasting or black tea production."
Wu Yi,武夷,"'Wuyi'. This refers to tea plants that were originally brought to Taiwan from the Wuyi Mountains in Fujian, likely a Shui Xian type. In Taiwan, this cultivar is used to create a medium-oxidized and medium-roast oolong that pays homage to its Yancha roots. It produces a tea with a characteristic balance of woody, fruity, and mineral notes.",Taiwan,Nantou,1801,"Brought from Wuyi Mountains, Fujian; likely a Shui Xian type.","Wuyi Oolong","Sturdy, semi-arbor bush (Camellia sinensis var. sinensis).","Grows well in the mid-elevation regions of central Taiwan, such as Lugu in Nantou County.","{""taiwan"": [""Nantou County (Lugu)"", ""Other historic tea areas""]}","{""Traditional Oolong"": {""Taiwanese Wuyi Oolong"": ""A medium-oxidized and medium-roast oolong, often made in the style of traditional Dong Ding. It bridges the gap between fragrant high mountain oolongs and heavily roasted teas.""}}","{""aroma"": ""Woody, floral, with notes of roasted nuts and dried fruit"", ""flavor"": ""A balanced profile of fruit, wood, and a subtle minerality with a pleasant roasted sweetness."", ""mouthfeel_liquor"": ""Medium-to-full-bodied, smooth, and satisfying with a warming finish. The liquor is a classic amber color.""}","Processing follows the traditional Dong Ding method. The leaves are moderately bruised and oxidized to develop a solid flavor base, and then skillfully roasted to add depth and complexity.","Undergoes medium oxidation (30-40%) to create a balance between retaining some floral notes and developing a fruity, substantive character that is ideal for roasting.","Perfectly suited for a medium charcoal roast. The roasting enhances its nutty and woody notes, creates a caramel-like sweetness, and gives the tea a comforting, smooth character.","Specialized for the traditional roasted oolong style. It is a key cultivar in the history of Dong Ding oolong and is not used for light, green styles."
Da Yeh Oolong,大葉烏龍,"'Big Leaf Oolong'. This refers to a large-leaf Assamica varietal that has been cultivated in Taiwan for over a century. While not as famous for oolong as the small-leaf sinensis varieties, it can be crafted into a unique, full-bodied oolong. Its most important role, however, was as the genetic foundation for Taiwan's modern black tea breeding programs, including being a parent of Hong Yu #18.",Taiwan,"Hualien, Yilan",1901,"Derived from Camellia sinensis var. assamica, brought from India.","Big Leaf Oolong","Large, robust bush or tree with large, drooping leaves (Camellia sinensis var. assamica).","Thrives in the hot, humid, and sunny low-altitude regions of eastern Taiwan.","{""taiwan"": [""Hualien County"", ""Yilan County"", ""Nantou County (as breeding stock)""]}","{""Oolong Tea (Niche)"": {""Da Yeh Oolong"": ""A rare style of oolong with a unique, robust, and often fruity character.""}, ""Black Tea"": {""Taiwanese Assam"": ""Its primary use, creating a classic, robust black tea with a malty and sweet flavor, similar to Indian Assam.""}}","{""aroma"": ""Malty, fruity, honey (as black tea); ripe fruit, woody (as oolong)"", ""flavor"": ""Strong, robust, and sweet with a malty character."", ""mouthfeel_liquor"": ""Very full-bodied and thick with a strong presence. The liquor is a deep red (black tea) or dark amber (oolong).""}","As an Assamica varietal, its leaves are rich in polyphenols, making them ideal for full oxidation. They are robust and can withstand heavy rolling to break down cell walls and encourage a strong, malty flavor.","When made into black tea, it undergoes full oxidation (100%). When made into oolong, it requires heavy oxidation (50-70%) to tame its natural astringency.","No roasting. The tea is typically dried with hot air.","Primarily used for black tea. While it can be made into a niche oolong, its chemical composition and leaf structure are perfectly suited for producing strong, malty black tea."
