name_english,name_native,description,origin_country,origin_region,development_year,parentage,also_known_as,plant_type,optimal_environment,geographic_distribution,tea_expressions,sensory_footprint,processing_suitability_details,oxidation_details,roasting_details,style_versatility
Asahi,あさひ,"'Morning Sun'. An old and revered elite cultivar from Uji, Kyoto. It is considered one of the absolute highest-grade cultivars for Matcha production, prized for its supremely elegant, profoundly sweet, and umami-rich profile with almost no bitterness. It is often used for top-tier, ceremonial-grade Matcha.",Japan,Kyoto (Uji),1950,"Selected from the native Uji Zairai population.","Morning Sun","Delicate, slow-growing, semi-upright bush with thin leaves (Camellia sinensis var. sinensis).","Requires the specific, stable, and rich terroir of Uji. It is a demanding cultivar with a low yield, reserved for the best plots.","{""japan"": [""Kyoto (Uji)""]}","{""Matcha & Tencha"": {""Ultra-Premium Ceremonial Matcha"": ""Its sole and highest expression. When shaded, it produces Tencha that is stone-ground into the finest Matcha, known for its incredible sweetness and elegance.""}}","{""aroma"": ""Subtle, sweet, clean, and milky"", ""flavor"": ""Profound and elegant umami with an exceptional, lasting sweetness and virtually zero bitterness."", ""mouthfeel_liquor"": ""Incredibly smooth, creamy, and refined, creating a very luxurious bowl of Matcha. The liquor is a bright, vibrant green.""}","Asahi is a shading master. It must be shaded for an extended period (20+ days) to develop its unique chemical composition, which is high in L-theanine and low in catechins. The leaves are very delicate and must be handled with extreme care.","Zero oxidation. The leaves are lightly steamed immediately after harvest to preserve their delicate character.","No roasting. The leaves are processed into Tencha by being dried flat in a specialized 'tencha-ro' oven, which prepares them for stone-grinding without altering their pure flavor.","Extremely specialized. Asahi is a 'thoroughbred' cultivar used exclusively for producing the most premium, ceremonial-grade Matcha in Japan."
Komakage,こまかげ,"An excellent shading cultivar from Aichi prefecture, known for its strong, upright growth and resistance to cold. It produces a high-quality Tencha for Matcha with a good balance of umami and a unique, slightly savory, almost spicy character that distinguishes it from the classic Uji cultivars.",Japan,Aichi,1970,"Selected from a native Zairai population.","N/A","Vigorous, upright bush with strong cold resistance (Camellia sinensis var. sinensis).","Very well-suited to the climate of Aichi and other regions that experience colder winters than southern Japan.","{""japan"": [""Aichi (Nishio - a major Matcha center)"", ""Mie""]}","{""Matcha & Tencha"": {""Nishio Matcha"": ""It is a cornerstone cultivar for Matcha from the Nishio region, prized for its unique flavor profile and reliability.""}}","{""aroma"": ""Savory greens, hint of spice"", ""flavor"": ""Good umami with a unique, slightly spicy or savory character and a clean finish."", ""mouthfeel_liquor"": ""Smooth and full-bodied, creating a satisfying bowl of Matcha. The liquor is a deep, strong green.""}","Komakage is well-suited for shaded cultivation. Its robust nature makes it a reliable choice for farmers. It is processed into Tencha for Matcha production.","Zero oxidation. The leaves are steamed promptly after being harvested from the shaded plants.","No roasting. As Tencha, the leaves are dried flat in a special oven without being rolled to prepare them for stone-milling.","Highly specialized for Matcha. It is a key cultivar for Matcha production outside of the Uji region, particularly in Aichi."
Koshun,香駿,"'Fragrance of Shizuoka'. A remarkable modern cultivar bred specifically for its astonishingly powerful and unique floral aroma. It produces a Sencha with a perfume-like fragrance reminiscent of lily-of-the-valley, jasmine, and cherry leaves, offering a completely different experience from classic, umami-focused Japanese green teas.",Japan,Shizuoka,2000,"'Kurizawa' x 'Kanayamidori'","Fragrant Shun","Upright, vigorous bush with long, elegant leaves (Camellia sinensis var. sinensis).","Well-suited to the climate of Shizuoka, where it was developed.","{""japan"": [""Shizuoka""]}","{""Sencha"": {""Aromatic Sencha"": ""Its primary expression. A lightly steamed green tea where processing is entirely focused on preserving its unique, intense floral bouquet.""}, ""Japanese Oolong"": {""Light Oolong"": ""Its aromatic potential also makes it a great candidate for producing lightly oxidized Japanese oolongs.""}}","{""aroma"": ""Intense lily-of-the-valley, jasmine, cherry leaf, very perfume-like"", ""flavor"": ""Light-bodied, highly aromatic, with a sweet, floral taste and a clean, fragrant finish."", ""mouthfeel_liquor"": ""Smooth and light with very low astringency. The liquor is a very pale, bright green-yellow.""}","Processing Koshun is all about capturing its volatile aromatic compounds. It is typically lightly steamed (Asamushi) to prevent the heat from damaging the delicate floral notes. Careful, low-temperature drying is also crucial.","Zero oxidation for the Sencha style. The leaves are steamed immediately to lock in the floral aroma.","A very gentle, low-temperature final drying roast is used to avoid baking away the prized floral fragrance.","Moderately versatile. While its primary use is for a unique style of aromatic Sencha, its genetics also make it suitable for crafting fragrant Japanese oolongs."
Sofu,そうふう / 蒼風,"'Blue Wind'. A modern aromatic cultivar, similar to Koshun, that is prized for its striking and unique fragrance. It produces a Sencha or light oolong with a powerful perfume-like aroma of black currant, citrus, and mint, representing a new wave of aromatic Japanese teas.",Japan,Saitama,2001,"'Fuding Da Bai' x a native Saitama Zairai","Blue Wind","Vigorous, upright bush (Camellia sinensis var. sinensis).","Adaptable to various climates, it is a key cultivar for the Saitama region.","{""japan"": [""Saitama"", ""Shizuoka""]}","{""Sencha"": {""Aromatic Sencha"": ""Used to create a Sencha with a very unique, zesty, and minty aromatic profile.""}, ""Japanese Oolong"": {""Light Oolong"": ""Its strong aromatics are well-suited for producing fragrant, lightly oxidized oolongs.""}}","{""aroma"": ""Striking black currant, citrus peel, mint"", ""flavor"": ""Bright, zesty, and aromatic with a refreshing, cool finish."", ""mouthfeel_liquor"": ""Smooth, light-to-medium-bodied, and very refreshing. The liquor is a pale green-yellow.""}","Like other aromatic cultivars, Sofu is processed with a gentle hand to preserve its volatile compounds. Light steaming is preferred to avoid damaging the unique aroma.","Zero oxidation for the Sencha style. Steamed immediately after harvest.","A very light final drying roast is applied to stabilize the tea without diminishing its powerful, unique fragrance.","Moderately versatile. It is primarily used for creating unique aromatic Senchas and is also an excellent choice for making Japanese-style light oolongs."
Inzatsu 131,印雑131,"An old and unique Japanese cultivar that is a hybrid of an Assamica variety and a native Zairai. It is known for its exotic, almost foreign aroma that is highly floral and sometimes spicy, reminiscent of teas from Darjeeling or Taiwan. It is a rare cultivar, prized by connoisseurs for its unique character.",Japan,Shizuoka,1960,"Assamica varietal x a native Shizuoka Zairai","N/A","Vigorous, semi-upright bush (Camellia sinensis hybrid).","Well-suited to the climate of Shizuoka where it was developed.","{""japan"": [""Shizuoka (very rare)""]}","{""Sencha"": {""Exotic Sencha"": ""When made as a green tea, it has a powerful, exotic floral aroma unlike any other Sencha.""}, ""Japanese Black/Oolong"": {""Aromatic Teas"": ""Its Assamica lineage makes it an excellent candidate for producing highly aromatic, lightly oxidized oolongs or even full black teas.""}}","{""aroma"": ""Exotic flowers, spicy, muscatel, sometimes a hint of citrus"", ""flavor"": ""Aromatic, slightly spicy, with a unique floral sweetness."", ""mouthfeel_liquor"": ""Smooth and medium-bodied with a very fragrant and lasting finish. The liquor is often a deeper golden-yellow.""}","Processing Inzatsu 131 aims to highlight its unique, non-Japanese aroma. The method can be adapted to push it towards a greener or a more oxidized style depending on the tea maker's goal.","Oxidation can vary. As a Sencha, it is unoxidized. However, it is often allowed a slight oxidation (like an oolong) to further develop its exotic floral and spicy notes.","Roasting is typically light to preserve its unique aroma.","Highly versatile. Its unique hybrid genetics make it a rare cultivar that can be successfully crafted into a wide range of styles, from a unique green tea to a fragrant oolong or black tea."
Shizu-7132,静岡7132,"A famous un-registered cultivar from Shizuoka, renowned for its intense and unmistakable aroma of 'sakura-mochi'—a sweet, cherry blossom and glutinous rice scent. It is a natural mutation of Yabukita and offers a very popular and distinct aromatic experience.",Japan,Shizuoka,1971,"Natural mutation of Yabukita.","Sakura Kaori (Cherry Blossom Aroma)","Vigorous, mid-budding bush (Camellia sinensis var. sinensis).","Grows well in Shizuoka and is prized by farmers who specialize in aromatic teas.","{""japan"": [""Shizuoka""]}","{""Sencha"": {""Sakura Aroma Sencha"": ""Its sole expression. A green tea processed to maximize its unique sweet cherry blossom and rice cake aroma.""}}","{""aroma"": ""Intense sweet cherry blossom (sakura), steamed rice, salty cherry leaf"", ""flavor"": ""Sweet, floral, with a unique cherry-like flavor and a smooth finish."", ""mouthfeel_liquor"": ""Smooth, medium-bodied, and very aromatic. The liquor is a bright green-yellow.""}","Processing for 7132 is all about preserving its signature coumarin compound, which is responsible for the sakura aroma. This requires careful handling and specific steaming and drying parameters.","Zero oxidation. The leaves are steamed immediately after harvest.","A careful final drying roast is applied to enhance and fix the sweet, sakura-like aroma without creating any burnt notes.","Specialized for Sencha. Its entire value is based on its singular and highly sought-after cherry blossom aroma, so it is not used for other tea styles."
Okuhikari,おくひかり,"'Late Light'. A late-budding cultivar with a refreshing, brisk mouthfeel and a distinct floral and woody character that sets it apart from the more common vegetal or umami-driven Senchas. It is a versatile and reliable cultivar for farmers.",Japan,Shizuoka,1978,"Yabukita x a native Shizuoka Zairai","Late Light","Vigorous, late-budding bush (Camellia sinensis var. sinensis).","Its late budding makes it a useful cultivar for extending the spring harvest season and avoiding frost. It is adaptable to various climates.","{""japan"": [""Shizuoka"", ""other regions""]}","{""Sencha"": {""Refreshing Sencha"": ""Its primary use is to produce a Sencha with a unique, brisk, and slightly woody-floral character.""}}","{""aroma"": ""Floral, woody, fresh, slightly herbaceous"", ""flavor"": ""Brisk, clean, and refreshing with a pleasant sweetness and a distinct character."", ""mouthfeel_liquor"": ""Smooth, light-to-medium-bodied with a very clean and uplifting finish. The liquor is a clear, bright green-yellow.""}","Okuhikari is typically processed as a standard Sencha (Chumushi) to maintain the balance of its unique flavor profile.","Zero oxidation. The leaves are steamed immediately after harvest.","A standard light final drying roast is applied to stabilize the tea and round out its flavors.","Specialized for Sencha. It offers a unique flavor profile that adds diversity to the world of Sencha."
Takachiho,高千穂,"A classic cultivar specific to the regions in Kyushu that specialize in 'Kamairicha' or pan-fired green tea. It is prized for its ability to withstand the high heat of pan-firing, producing a green tea with a beautiful nutty and roasted aroma ('kama-ka') that is very different from the vegetal notes of steamed Sencha.",Japan,Miyazaki,1960,"Selected from a native Zairai population.","N/A","Medium-sized, robust bush adapted to pan-firing (Camellia sinensis var. sinensis).","Thrives in the warm climate of southern Kyushu, particularly Miyazaki, the heart of Kamairicha production.","{""japan"": [""Miyazaki"", ""Kumamoto""]}","{""Kamairicha (Pan-Fired Green Tea)"": {""Classic Kamairicha"": ""Its premier expression. A pan-fired green tea with a signature nutty, roasted corn aroma and a refreshing, non-astringent flavor.""}}","{""aroma"": ""Nutty, toasted corn, roasted grains ('kama-ka')"", ""flavor"": ""Sweet, refreshing, and smooth with a distinct roasted character and very low astringency."", ""mouthfeel_liquor"": ""Smooth, clean, and mellow with a very satisfying finish. The liquor is a clear, golden-yellow.""}"","The key to processing Takachiho is the 'kill-green' step. Instead of steaming, the leaves are fired in a hot iron pan or rotating drum, a technique originally from China. This high, dry heat creates the characteristic nutty aroma.","Zero oxidation. The pan-firing immediately halts all enzymatic activity.","No roasting in the traditional sense. The pan-firing process itself serves to dry the tea and create its signature roasted flavor profile.","Extremely specialized. Takachiho is a cornerstone cultivar for the unique, non-steamed Kamairicha style of Japanese green tea."
Benifuki,べにふうき,"'Red Riches'. Japan's most famous and important black tea cultivar. It is a powerful hybrid of Assamica varieties, bred to produce a robust, full-bodied black tea with a strong astringency and notes of plum and citrus. It is also famous for its high content of methylated catechins, which are studied for their anti-allergic properties.",Japan,Kagoshima,1993,"'Benihomare' x 'MakuraCd86' (Darjeeling lineage)","Red Riches","Vigorous, large-leaf Assamica type bush, not cold-resistant (Camellia sinensis var. assamica hybrid).","Thrives in the warm, subtropical climates of southern Japan, particularly Kagoshima.","{""japan"": [""Kagoshima"", ""Shizuoka"", ""Miyazaki""]}","{""Wakocha (Japanese Black Tea)"": {""Classic Wakocha"": ""Its sole expression. A robust, full-bodied black tea with a characteristic astringency and a unique fruity-spicy flavor profile.""}}","{""aroma"": ""Plum, citrus peel, slightly medicinal or spicy"", ""flavor"": ""Robust, malty, with a strong but clean astringency and a brisk finish."", ""mouthfeel_liquor"": ""Full-bodied and strong with a powerful presence. The liquor is a deep, clear reddish-orange.""}","Benifuki is processed using the orthodox black tea method: withering, rolling to break cell walls, full oxidation to develop flavor and color, and finally drying. Its high polyphenol content allows for a strong, brisk character.","Undergoes full oxidation (100%) to be classified as a black tea. This is essential for developing its robust flavor and deep color.","No roasting. The tea is dried with hot air to halt oxidation and reduce the moisture content to a stable level.","Completely specialized. Benifuki was bred specifically to be the flagship cultivar for the Japanese black tea industry and is not used for other styles."
Benihikari,べにひかり,"'Red Light'. A classic Japanese black tea cultivar with Darjeeling lineage. Compared to the robust Benifuki, Benihikari is known for being more aromatic, elegant, and less astringent, often with a distinct floral and muscatel-like aroma reminiscent of a second-flush Darjeeling.",Japan,Kagoshima,1969,"'Benikaori' x a Darjeeling-lineage parent","Red Light","Vigorous, large-leaf bush (Camellia sinensis var. assamica hybrid).","Grows well in the warm climates of southern Japan suitable for black tea production.","{""japan"": [""Kagoshima"", ""Shizuoka""]}","{""Wakocha (Japanese Black Tea)"": {""Aromatic Wakocha"": ""Its main expression. An elegant black tea where processing aims to preserve its delicate, Darjeeling-like floral and muscatel aromatics.""}}","{""aroma"": ""Muscatel grape, floral, honey"", ""flavor"": ""Elegant, smooth, and fruity with a refined sweetness and low astringency."", ""mouthfeel_liquor"": ""Smooth, medium-bodied, and very aromatic with a clean, pleasant finish. The liquor is a bright reddish-orange.""}","Processing Benihikari requires a more delicate touch than Benifuki. The goal is to carefully manage the oxidation to develop its complex aromatics without creating too much astringency.","Undergoes full oxidation (100%), but the process is carefully monitored to capture the peak of its floral and fruity notes.","No roasting. The tea is dried with hot air to stabilize it and lock in its prized aromatic character.","Specialized for black tea. It represents a more aromatic and refined style of Japanese black tea compared to the more robust Benifuki."
