name_english,name_native,description,origin_country,origin_region,development_year,parentage,also_known_as,plant_type,optimal_environment,geographic_distribution,tea_expressions,sensory_footprint,processing_suitability_details,oxidation_details,roasting_details,style_versatility
Bai Wen,白文,"'White Hairs'. A modern cultivar developed by TRES specifically for the production of leafhopper-bitten teas like Oriental Beauty. It was designed to be a more productive and pest-resistant alternative to the traditional Qing Xin Da Mao cultivar, while still being able to produce the signature honey-fruit fragrance when bitten by the tea leafhopper.",Taiwan,"Hsinchu, Miaoli",2000,"(Qing Xin Da Mao x TRES-1407)","White Hairs, TRES #17","Vigorous, upright bush with large, downy leaves.","Grows well in the same hot, humid, and leafhopper-rich environments as Qing Xin Da Mao in northwestern Taiwan.","{""taiwan"": [""Hsinchu County"", ""Miaoli County""]}","{""Oriental Beauty Oolong (Dong Fang Mei Ren)"": {""Bai Hao Oolong"": ""Its sole purpose is to be an alternative cultivar for making high-quality Oriental Beauty oolong.""}}","{""aroma"": ""Honey, Ripe Peach, Floral, similar to Oriental Beauty"", ""flavor"": ""Sweet, fruity, and complex with a smooth finish."", ""mouthfeel_liquor"": ""Full-bodied and smooth. The liquor is a bright reddish-orange.""}","Processing is identical to that of traditional Oriental Beauty. The key is that the leaves must be bitten by the tea leafhopper to initiate the chemical changes that create the unique aroma.","Undergoes heavy oxidation (60-70%) to fully develop the complex honey and fruit flavors that result from the insect bites.","Completely unroasted. All the flavor and aroma are developed through the natural reaction to the insect bites and the subsequent heavy oxidation.","Extremely specialized. This cultivar was bred for the single purpose of making Oriental Beauty oolong, offering farmers a more reliable option."
Chin Hsin,沁心,"'Soothing Heart'. One of the newest cultivars released by TRES (2016), it was bred for broad appeal, combining the creamy texture of Jin Xuan with the elegant floral notes of Qing Xin. It is a modern, well-rounded cultivar designed for producing high-quality light oolongs.",Taiwan,Nantou,2016,"(Jin Xuan x Qing Xin) x Cui Yu","Soothing Heart, TRES #22","Upright, vigorous bush with good yield.","Adaptable to the mid-altitude oolong-producing regions of Taiwan.","{""taiwan"": [""Nantou County""]}","{""Oolong Tea (Light Style)"": {""Modern Light Oolong"": ""Designed to be made into a lightly oxidized, unroasted, ball-rolled oolong that is both creamy and floral.""}}","{""aroma"": ""Creamy, Floral, Buttery"", ""flavor"": ""A good balance of Jin Xuan's creaminess and Qing Xin's floral elegance."", ""mouthfeel_liquor"": ""Smooth, full, and creamy. The liquor is a bright, pale gold.""}","Processing aims to capture the best of both its parents, requiring careful withering to develop both the creamy and floral notes simultaneously.","Undergoes light oxidation (15-30%) to maintain a fresh, aromatic profile.","Unroasted, to preserve the delicate balance of its creamy and floral characteristics.","Specialized for light oolongs. It was bred to be a high-quality, modern oolong and is not intended for other styles."
Fo Shou,佛手,"'Buddha's Hand'. A large-leaf cultivar with origins in Yongchun, Fujian, that is also cultivated in Taiwan. It is named for its unusually large leaves, which resemble a Buddha's hand citron. In Taiwan, it is most famously used to create a distinct style of traditionally crafted, heavily roasted oolong in the Muzha area.",Taiwan,"Muzha, Taipei",1644,"Brought from Yongchun, Fujian, China.","Buddha's Hand","Large, sprawling bush with very large, broad, and dark green leaves (Camellia sinensis var. sinensis).","Grows well in the mid-elevation, humid environments of northern and central Taiwan.","{""taiwan"": [""Taipei (Muzha)"", ""Nantou County"", ""Pinglin District""]}","{""Traditional Oolong"": {""Muzha Fo Shou"": ""Its most famous Taiwanese expression. A heavily oxidized and deeply roasted oolong with a unique fruity, honeyed, and roasted character."", ""Yongchun Fo Shou (Anxi)"": ""The original mainland China style, known for its strong ripe fruit notes.""}}","{""aroma"": ""Ripe Quince, Pear, Honey, Caramel, gentle roast"", ""flavor"": ""Thick, fruity, and sweet with a distinct, comforting roasted depth."", ""mouthfeel_liquor"": ""Exceptionally thick, viscous, and soupy with a very smooth, comforting texture. The liquor is a deep, dark amber.""}","The large leaves of Fo Shou contain a lot of water and require a long, slow withering process. Their size and substance make them ideal for withstanding the stress of heavy oxidation and deep, slow roasting.","Undergoes heavy oxidation (50-60%) to develop a deep, fruity, and honey-like flavor base that serves as the perfect canvas for roasting.","Very well-suited to heavy roasting. The traditional Muzha style involves multiple, slow bakes over charcoal, which builds immense depth, removes all astringency, and creates a signature caramel-like sweetness.","Specialized for traditional, heavily roasted oolongs. Its large leaf structure is not well-suited for light, 'green' oolong styles."
Hong Yun,红韵,"'Red Rhyme'. Another modern black tea masterpiece from TRES, Hong Yun was developed to have a more fruit-forward and floral profile compared to Hong Yu's spicy character. It is known for its bright, uplifting aroma of citrus fruits like yuzu and orange peel, combined with a sweet, lingering floral finish.",Taiwan,"Sun Moon Lake (Nantou)",2008,"Indian 'Kyang' varietal x Keemun varietal","Red Rhyme, TRES #21","Vigorous bush, slightly smaller and more compact than Hong Yu.","Grows well in the warm, humid environment of Yuchi (Sun Moon Lake) and other black tea producing regions in Taiwan.","{""taiwan"": [""Nantou County (Yuchi Township - Sun Moon Lake)""]}","{""Black Tea"": {""Hong Yun Black Tea"": ""Its only expression. A fully oxidized black tea designed to be exceptionally aromatic, with a focus on bright citrus and floral notes.""}}","{""aroma"": ""Bright Yuzu, Orange Peel, Passionfruit, underlying floral sweetness"", ""flavor"": ""Citrusy, sweet, and vibrant with a clean, honey-like finish."", ""mouthfeel_liquor"": ""Medium-to-full-bodied, smooth, and very aromatic with a long, sweet aftertaste. The liquor is a bright orange-red.""}","Like Hong Yu, the processing is a standard black tea method. The skill of the tea master lies in perfectly timing the oxidation to capture the peak of its citrus and floral aromatics.","Undergoes full oxidation (100%) to develop its bright red liquor and complex fruity-floral flavor profile.","No roasting. The tea is dried with hot air. Its flavor is derived from its unique parentage and the oxidation process.","Completely specialized. Hong Yun was specifically bred to create a unique, aromatic black tea and is not used for other tea styles."
Hong Yu,红玉,"'Ruby'. Taiwan's most famous and unique black tea, Hong Yu is a modern hybrid developed by TRES. It is celebrated for its truly singular and powerful aroma, a complex bouquet of cinnamon, wintergreen, and mint, layered over a rich, malty base. It is a world-class black tea that has become an icon of the Taiwanese tea industry.",Taiwan,"Sun Moon Lake (Nantou)",1999,"C. sinensis var. assamica (Burma) x C. formosensis (Taiwanese Wild Tea)","Ruby, Tai Cha #18","Vigorous, large-leaf bush with a strong upright growth habit.","Prefers the warm, extremely humid, and stable climate around Sun Moon Lake, which mimics the conditions needed by its Assamica parentage.","{""taiwan"": [""Nantou County (Yuchi Township - Sun Moon Lake)""]}","{""Black Tea"": {""Ruby #18 Black Tea"": ""Its sole, iconic expression. A fully oxidized black tea with a powerful and unmistakable spicy-minty aroma and a rich, sweet flavor.""}}","{""aroma"": ""Powerful Cinnamon, Wintergreen, Mint, Camphor, Malt"", ""flavor"": ""Malty, sweet, with a complex spice character and a unique cooling sensation in the finish."", ""mouthfeel_liquor"": ""Full-bodied, robust, and very smooth with a long, powerful, and cooling aftertaste. The liquor is a brilliant, clear ruby red.""}","The processing is a relatively standard black tea method (wither, roll, oxidize, dry), but the magic is in the unique genetics of the leaf itself. The goal is simply to fully express the inherent character of the cultivar.","Undergoes full and complete oxidation (100%) to develop the deep red color and the complex aromatic compounds that define it.","No roasting. The tea is dried with hot air to halt oxidation and reduce moisture content. All of its flavor comes from the leaf chemistry and oxidation.","Completely specialized. Hong Yu was bred for the express purpose of making a world-class black tea, and its unique genetics make it unsuitable for other styles."
Jin Xuan,金萱,"'Golden Lily'. A celebrated modern cultivar developed by Taiwan's TRES in 1981, it is famous for its distinct, natural 'nai xiang' or 'milk fragrance'. This creamy, buttery, and smooth profile, combined with its high yield and adaptability, has made Jin Xuan one of the most popular and beloved teas in Taiwan and beyond.",Taiwan,Nantou,1981,"Ying Zhi Hong Xin x Tainung #8","Golden Lily, Milk Oolong, TRES #12","Vigorous, adaptable, high-yielding bush with distinctive round, thick leaves (Camellia sinensis var. sinensis).","Highly adaptable, thriving in a wide range of environments from lower elevations in Nantou to high altitudes on Alishan (200-1,600m).","{""taiwan"": [""Nantou County (Mingjian)"", ""Chiayi County (Alishan)"", ""Jiayi""], ""thailand"": [""Chiang Rai""], ""vietnam"": [""Lam Dong""]}","{""Oolong Tea"": {""Milk Oolong"": ""Its most famous expression. A lightly oxidized, ball-rolled oolong with a prominent creamy, milky, and buttery character.""}, ""Black Tea"": {""Jin Xuan Black Tea"": ""When fully oxidized, it produces a uniquely sweet and smooth black tea with notes of honey and a hint of its signature creaminess.""}}","{""aroma"": ""Distinct Milk, Cream, Butter, light floral (Osmanthus)"", ""flavor"": ""Buttery, smooth, sweet, with a clean and light finish."", ""mouthfeel_liquor"": ""Smooth, creamy, and round with very low astringency. The liquor is a bright, pale golden color.""}","The processing for Jin Xuan oolong is specifically designed to highlight its unique, inherent 'nai xiang' (milk fragrance). Careful withering is key to developing this signature trait.","For oolong, oxidation is light (15-25%) to preserve the creamy notes. For black tea, it undergoes full oxidation (100%), which transforms the creaminess into a honeyed sweetness.","Typically unroasted for the classic Milk Oolong style to maintain its fresh, creamy character.","Very versatile. It is a star performer as a light oolong and also makes an exceptionally smooth and sweet black tea, making it a valuable and flexible cultivar for farmers."
Qing Xin Da Mao,青心大冇,"'Green Heart Big Hairy'. The indispensable cultivar for creating Taiwan's famous Oriental Beauty oolong. This tea's unique honey and muscat grape flavor is not from the leaf itself, but from its reaction to the bites of a tiny insect, the tea leafhopper. The cultivar's specific chemistry is perfectly suited to this remarkable transformation.",Taiwan,"Hsinchu, Miaoli",1885,"Selected from native Chinese heirloom population.","Green Heart Big Hairy, Oriental Beauty Cultivar, Bai Hao Oolong Cultivar","Sprawling, semi-upright bush, can be unruly (Camellia sinensis var. sinensis).","Thrives in the hot, humid, and lower-altitude (100-400m) environments of northwestern Taiwan where the tea leafhopper (Jacobiasca formosana) is abundant.","{""taiwan"": [""Hsinchu County"", ""Miaoli County"", ""Taipei (Pinglin)""]}","{""Oriental Beauty Oolong (Dong Fang Mei Ren)"": {""Bai Hao Oolong"": ""Its sole, famous expression. A heavily oxidized, unroasted, multi-colored leaf oolong with a profound honey-fruit character derived from insect bites.""}}","{""aroma"": ""Intoxicating Muscat Grape, Ripe Peach, Wild Honey, Cinnamon"", ""flavor"": ""Sweet, complex, multi-layered fruit with a smooth, honeyed finish."", ""mouthfeel_liquor"": ""Full-bodied, smooth, and sweet with no bitterness. The liquor is a beautiful, bright reddish-orange.""}","The entire process relies on nature; the tea must be bitten by the leafhopper. Processing then aims to highlight the resulting aromatic compounds. The leaves are handled gently to preserve their unique character.","Undergoes heavy oxidation (60-70%), which is crucial for developing the complex honey and ripe fruit flavors that are created in response to the insect bites.","Completely unroasted. The rich, deep flavors are a result of oxidation, not heat. A finishing bake is used for drying only.","Extremely specialized. This cultivar's identity and value are entirely dependent on the presence of the tea leafhopper and the specific processing of Oriental Beauty oolong."
Qing Xin Gan Zhi,青心柑仔,"'Green Heart Orange'. An older, traditional Taiwanese oolong cultivar that was more prominent before the widespread adoption of Qing Xin Oolong. It is known for producing a clean, fragrant, and slightly more vegetal Baozhong oolong and is a parent of the famous Si Ji Chun cultivar.",Taiwan,Taipei,1850,"Selected from native Chinese heirloom population.","Green Heart Orange","Semi-upright bush, considered a more 'rustic' cultivar (Camellia sinensis var. sinensis).","Well-suited to the lower-altitude, humid basin environments like those found around Taipei.","{""taiwan"": [""Taipei (Pinglin, Nangang)"", ""Nantou""]}","{""Baozhong Oolong"": {""Traditional Baozhong"": ""Its classic expression. A twisted-leaf, lightly oxidized oolong with a very clean, fresh, and vegetal-floral profile.""}}","{""aroma"": ""Fresh green florals, cut grass, vegetal notes"", ""flavor"": ""Clean, brisk, and refreshing with a light sweetness."", ""mouthfeel_liquor"": ""Lighter-bodied and more brisk than Qing Xin Oolong, with a clean finish. The liquor is a clear, pale green-yellow.""}","Processing is straightforward, following the traditional twisted-leaf Baozhong style. The goal is to preserve a fresh, green character.","Undergoes very light oxidation (10-20%) to maintain its fresh, green, and floral notes.","Unroasted, aside from a final drying bake. Its delicate character is not suited for roasting.","Low versatility. It is a specialist for producing a classic, traditional style of Baozhong oolong."
Si Ji Chun,四季春,"'Four Seasons Spring'. A famously prolific and aromatic cultivar, discovered as a natural cross in the 1980s. It's named for its ability to be harvested almost year-round, while still producing a tea with an explosive, forward, and highly accessible floral aroma, primarily of gardenia and jasmine.",Taiwan,Nantou,1980,"Natural cross-pollination of Wu Yi and Qing Xin Gan Zhi.","Four Seasons Oolong","Extremely vigorous, dense, and highly productive bush (Camellia sinensis var. sinensis).","Thrives in lower-altitude, warmer, and more humid climates, which allows for its near-constant flushing and harvesting.","{""taiwan"": [""Nantou County (Mingjian is the largest area)"", ""Other low-altitude regions""]}","{""Oolong Tea (Aromatic Style)"": {""Si Ji Chun Oolong"": ""Almost always made as a very lightly oxidized, unroasted oolong (often in the twisted Baozhong style) to maximize its powerful, fresh floral aroma. It's a popular daily-drinker tea.""}}","{""aroma"": ""Intense, forward Gardenia, Jasmine, and other white flowers"", ""flavor"": ""Crisp, highly floral, and slightly pungent with a brisk finish."", ""mouthfeel_liquor"": ""Light-to-medium-bodied with a fresh, clean texture. The liquor is a pale green-yellow.""}","Processing is fast and efficient, aimed at capturing the cultivar's potent upfront aroma. It is a workhorse cultivar that responds well to standard green oolong processing.","Oxidation is kept very light (10-20%) to ensure the final product is dominated by the fresh, powerful gardenia and jasmine notes.","Unroasted. Its value lies in its fresh floral aroma, which would be destroyed by any significant roasting.","Low versatility. While incredibly productive, it is a specialist in producing one type of tea: a fragrant, accessible, and affordable light oolong. It lacks the structure for other styles."
Ying Xiang,迎香,"'Welcome Fragrance'. A new-generation oolong cultivar released by TRES in 2014, Ying Xiang was bred to have the elegant floral character of Qing Xin but with more intensity and a tropical twist. It is known for its clear, sophisticated, floral aroma reminiscent of osmanthus and lily.",Taiwan,Nantou,2014,"Jin Xuan x Qing Xin cross-pollination.","Welcome Fragrance, TRES #20","Vigorous, upright bush with good productivity.","Adaptable to a range of mid-altitude environments, performing well in the established oolong regions of Nantou.","{""taiwan"": [""Nantou County""]}","{""Oolong Tea (Aromatic Style)"": {""Ying Xiang Oolong"": ""Best expressed as a lightly oxidized, unroasted oolong, often in the twisted Baozhong style, to maximize its elegant and intense floral character.""}}","{""aroma"": ""Elegant tropical flowers, Osmanthus, Lily, fresh sweetness"", ""flavor"": ""Clean, intensely floral, and sweet with a very smooth and refined profile."", ""mouthfeel_liquor"": ""Smooth, silky, and medium-bodied with a long, purely aromatic finish. The liquor is a clear, pale gold.""}","Processing is focused on highlighting its refined floral notes. It requires gentle handling during withering and bruising to develop its complex bouquet without introducing any undesirable green notes.","Undergoes light oxidation (15-25%), which is ideal for showcasing its high-note floral aromatics.","Unroasted. Like other highly aromatic Taiwanese oolongs, any significant roasting would damage its primary characteristic.","Specialized for light, aromatic oolongs. It was designed to be a modern, high-fragrance alternative to Qing Xin and excels in that role."
