id,name,chineseName,altNames,originCountry,originRegion,developedYear,parentage,description,plantType,environment,processing,oxidation,roasting,versatility,authorshipRung
anji-bai-cha,Anji Bai Cha,安吉白茶,Anji White Leaf,China,Anji (Zhejiang),1982,"A rare, natural mutation discovered in the wild and then propagated.","'Anji White Tea'. A unique and fascinating cultivar that, despite its name, is processed as a green tea. In the low temperatures of early spring, its leaves have an albino-like appearance due to a lack of chlorophyll. This results in an exceptionally high concentration of amino acids, producing a tea with a powerful, savory 'umami' flavor unlike any other green tea.","Delicate, temperature-sensitive bush (Camellia sinensis var. sinensis).",Requires a specific microclimate with a cool spring to trigger its albino phase. It thrives in the bamboo-rich terroir of Anji County.,"Processing must be extremely gentle to protect the delicate, amino-acid-rich leaves. The goal is to do as little as possible to let the unique character of the raw material shine through.",Zero oxidation. The leaves are lightly steamed or pan-fired at a low temperature to halt oxidation while preserving their delicate structure and chemical composition.,"No roasting. The tea is simply dried at a low temperature after the kill-green step. Any roasting would destroy its unique, savory flavor.","Extremely specialized. This cultivar is cultivated for one purpose only: to create the unique, umami-rich green tea known as Anji Bai Cha.",drafted
asahi,Asahi,あさひ,Morning Sun,Japan,Kyoto (Uji),1950,Selected from the native Uji Zairai population.,"'Morning Sun'. An old and revered elite cultivar from Uji, Kyoto. It is considered one of the absolute highest-grade cultivars for Matcha production, prized for its supremely elegant, profoundly sweet, and umami-rich profile with almost no bitterness. It is often used for top-tier, ceremonial-grade Matcha.","Delicate, slow-growing, semi-upright bush with thin leaves (Camellia sinensis var. sinensis).","Requires the specific, stable, and rich terroir of Uji. It is a demanding cultivar with a low yield, reserved for the best plots.","Asahi is a shading master. It must be shaded for an extended period (20+ days) to develop its unique chemical composition, which is high in L-theanine and low in catechins. The leaves are very delicate and must be handled with extreme care.",Zero oxidation. The leaves are lightly steamed immediately after harvest to preserve their delicate character.,"No roasting. The leaves are processed into Tencha by being dried flat in a specialized 'tencha-ro' oven, which prepares them for stone-grinding without altering their pure flavor.","Extremely specialized. Asahi is a 'thoroughbred' cultivar used exclusively for producing the most premium, ceremonial-grade Matcha in Japan.",drafted
asatsuyu,Asatsuyu,あさつゆ,,Japan,Kyoto,1953,,"'Morning Dew'. A legendary cultivar often referred to as a 'natural Gyokuro' due to its intense, sweet umami flavor, even when grown unshaded as Sencha. It is one of the parents of the elite Saemidori cultivar and is prized by connoisseurs for its powerful, savory, and sweet character, though it can be difficult to cultivate.",,,,,,,drafted
ba-xian,Ba Xian,八仙,Eight Immortals Dan Cong,China,Phoenix Mountains (Guangdong),1990,Clonal selection from a Song Zhong mother tree.,"'Eight Immortals'. A powerful and assertive clonal Dan Cong cultivar, developed from eight cuttings of a venerable Song Zhong mother tree. It is renowned for its intense, almost aggressive fragrance and a strong, impactful flavor profile that sets it apart from more delicate floral types.","Vigorous arbor type with dark green, shiny leaves (Camellia sinensis var. sinensis).","Grows in the high-altitude, rocky terroir of the Phoenix Mountains, which provides the mineral foundation for its strong character.",integrate its flavors,and build a lasting,"resonant finish without overpowering the core aroma.,Highly specialized. Ba Xian is a singular expression of a powerful","high-aroma Dan Cong oolong and is not used for other tea styles.
Long Jing #43,龙井43号,The most widespread and commercially important modern cultivar for West Lake Long Jing tea. Developed in the 1970s",drafted
bai-ji-guan,Bai Ji Guan,白鸡冠,White Cockscomb,China,Wuyi Mountains (Fujian),1368,"One of the four original, legendary Wuyi cultivars, named for its unique appearance.","'White Cockscomb'. A rare and unique member of the 'Si Da Ming Cong', Bai Ji Guan stands apart from all other Wuyi oolongs. It is named for its peculiar pale, yellowish-green leaves and is processed with a much lighter hand, resulting in a creamy, sweet, and custardy flavor profile that contrasts sharply with the dark, roasty character of its famous brethren.","Small, slow-growing, semi-upright bush with delicate branches (Camellia sinensis var. sinensis).",Requires a specific microclimate within the Wuyi Mountains. It is less hardy than other Yancha cultivars and requires great care.,"Processing Bai Ji Guan requires immense skill and a light touch. The leaves are more fragile than other Wuyi cultivars, so the bruising and oxidation steps must be gentle to avoid bitterness and preserve its delicate aromatics.","Oxidation is kept very light for a Yancha (20-30%). This preserves the leaf's natural pale color and its sweet, creamy, and corn-like flavor notes.",Roasting is minimal and done at a very low temperature. It is more of a final drying bake than a flavor-altering roast. The goal is to stabilize the tea while allowing its inherent sweetness and unique flavor to shine.,"Extremely specialized. Bai Ji Guan represents a unique, almost historical style of light Yancha. It is not versatile and can only be made in this specific way.",drafted
bai-wen,Bai Wen,白文,White Hairs;TRES #17,Taiwan,"Hsinchu, Miaoli",2000,(Qing Xin Da Mao x TRES-1407),"'White Hairs'. A modern cultivar developed by TRES specifically for the production of leafhopper-bitten teas like Oriental Beauty. It was designed to be a more productive and pest-resistant alternative to the traditional Qing Xin Da Mao cultivar, while still being able to produce the signature honey-fruit fragrance when bitten by the tea leafhopper.","Vigorous, upright bush with large, downy leaves.","Grows well in the same hot, humid, and leafhopper-rich environments as Qing Xin Da Mao in northwestern Taiwan.",Processing is identical to that of traditional Oriental Beauty. The key is that the leaves must be bitten by the tea leafhopper to initiate the chemical changes that create the unique aroma.,Undergoes heavy oxidation (60-70%) to fully develop the complex honey and fruit flavors that result from the insect bites.,Completely unroasted. All the flavor and aroma are developed through the natural reaction to the insect bites and the subsequent heavy oxidation.,"Extremely specialized. This cultivar was bred for the single purpose of making Oriental Beauty oolong, offering farmers a more reliable option.",drafted
ban-tian-yao,Ban Tian Yao,半天腰,Mid-level;Half-way to Heaven,China,Wuyi Mountains (Fujian),1644,Selected from the native Wuyi heirloom population.,"'Half-way to the Sky'. A classic Wuyi Rock Oolong named for the legend of its original bush growing halfway up a cliff. It is celebrated for its perfect balance and elegance, often described as the ideal middle-ground Yancha—lacking the sharp spice of Rou Gui or the deep woodiness of Shui Xian, it instead offers a clear, sweet, and floral profile.","Upright, medium-sized arbor type, well-adapted to rocky growth (Camellia sinensis var. sinensis).","Best expresses itself in the core 'Zhengyan' region of the Wuyi Mountains, where the mineral-rich terroir contributes to its balanced flavor.",The processing of Ban Tian Yao is a balancing act itself. The goal is not to impart extreme flavors but to reveal the cultivar's natural elegance. Its leaves are robust enough for traditional Yancha processing but shine when not pushed to extremes.,Undergoes a standard medium-to-heavy oxidation for Yancha (40-60%) to develop a solid foundation of flavor that enhances its floral and fruity notes.,"Typically receives a medium charcoal roast. This is enough to create the desired 'rock rhyme' and smoothness but light enough to preserve its delicate floral top notes, which could be lost with a heavier bake.",Highly specialized. Ban Tian Yao is a pure expression of the traditional Wuyi Rock Oolong style and is not used for other types of tea.,drafted
bei-dou,Bei Dou,北斗,North Star;Bei Dou Yi Hao (North Star #1),China,Wuyi Mountains (Fujian),1960,"Cloned from the Bei Dou mother tree, which itself was said to be a cutting from an original Da Hong Pao bush.","'North Star'. A prestigious Wuyi Rock Oolong cultivar directly descended from the legendary Da Hong Pao lineage. It is renowned for its powerful and robust character, thick body, and a classic roasted flavor profile that is both complex and deeply satisfying, making it a favorite among seasoned Yancha drinkers.","Sturdy, upright arbor type well-adapted to rocky terrain (Camellia sinensis var. sinensis).","Grows best in the core 'Zhengyan' region of the Wuyi Mountains, where the mineral-rich soil and terroir create its powerful flavor.",The processing of Bei Dou is a classic example of traditional Yancha craftsmanship. Its strong leaves can withstand the necessary heavy oxidation and multiple roasts that build its complex character.,"Undergoes heavy oxidation (50-60%) to develop a rich, fruity, and robust flavor base that serves as the perfect foundation for the charcoal roasting process.","Receives a medium-to-heavy charcoal roast, often in multiple stages. This is essential for creating its signature roasted depth, smoothing its texture, and developing the long, sweet finish.","Highly specialized. Bei Dou is a pure expression of the traditional, powerful Wuyi Rock Oolong style and is not used for other types of tea.",drafted
ben-shan,Ben Shan,本山,Origin Mountain,China,Anxi (Fujian),,"Close genetic relative of Tie Guan Yin, selected from the same Anxi heirloom population.","'Original Mountain'. A close genetic relative of Tie Guan Yin from the neighboring mountains of Anxi. Ben Shan is known for producing a lighter-bodied oolong with a very clear, high-pitched floral aroma, often described as being more straightforward and less complex than its famous cousin. It is a popular and more affordable daily-drinker oolong.","Upright bush type, similar in appearance to Tie Guan Yin but slightly less robust (Camellia sinensis var. sinensis).",Grows in similar conditions to Tie Guan Yin but is often found in slightly different microclimates within the greater Anxi region.,"Ben Shan's leaves are thinner and more delicate than Tie Guan Yin's, making them best suited for light-handed processing. They develop their floral aroma quickly but cannot withstand heavy oxidation or roasting.","Oxidation is kept very low (10-20%) to preserve its fresh, delicate, and high-pitched floral notes. The goal is to maximize the upfront aroma.","Almost never roasted, other than a final, low-temperature drying bake. Its delicate character would be completely overwhelmed by any significant roasting.","Not very versatile. It excels at one thing: being a light, fresh, and aromatic green-style oolong. It lacks the substance for traditional processing or for making other tea types.",drafted
benifuki,Benifuki,べにふうき,,Japan,Kagoshima,1993,,"'Red Riches'. Japan's most famous and important black tea cultivar. It is a powerful hybrid of Assamica varieties, bred to produce a robust, full-bodied black tea with a strong astringency and notes of plum and citrus. It is also famous for its high content of methylated catechins, which are studied for their anti-allergic properties.",,,,,,,drafted
