id,name,chineseName,altNames,producerId,era,appliesToTypes,description
7572,7572,7572,,menghai-tea-factory,1975,Shou,"Menghai Tea Factory's benchmark shou pu-erh recipe number. The digits encode its identity: 1975 formula, grade 7 leaf, factory number 2."
aaa-grade,AAA,,Triple-A,,,,"A letter-grade quality designation indicating premium leaf selection and processing, part of a broader letter-grading convention used across Chinese tea classification. In this collection it appears on the Liao Fu Wan Yan product line."
blue-seal-green-label,Blue Seal Green Label,蓝印绿标,,china-national-tea-corporation,,Sheng,A colored seal and label designation used by the China National Tea Corporation to classify pu-erh production batches during the era of state-controlled production.
golden-bull,Golden Bull,金牛,Jin Niu,hengfengyuan,,Shou,"A named product line under the Hengfengyuan producer. The source product carries no prose body, so nothing beyond the name itself is confirmed."
gong-jin,Gong Jin,贡金,Tribute Gold,qiaorui,,Shou,"A tribute-grade classification ('gong', historically tea produced for imperial tribute) combined with a gold-brick ('jin zhuan') designation emphasizing prestige, used on a brick-pressed shou pu-erh."
gong-ting,Gong Ting,宫廷,Gongting;Palace Grade,,,Oolong;Shou,"A 'palace' or 'imperial court' designation for the highest grade classification within a tea's production, indicating the finest bud or tip material. Seen on shou pu-erh (finest bud material) and on aged Taiwanese oolong (finest buds and leaves)."
gongjian,Gongjian,贡尖,Tribute Tip,,,Dark,"One of the three traditional grades of loose Anhua dark tea, made from the finest, most tender tips picked in early spring. The other two grades, named alongside it in the source write-up, are Tianjian and Shengjian (neither has its own product in this collection)."
jia-ji,Jia Ji,甲级,Grade A,,,Dark,"A first/A-grade leaf classification indicating higher-quality selection than standard production. Appears in this collection under more than one producer (Menghai, Liao Fu), so it is a shared grading term rather than one producer's exclusive mark."
red-seal,Red Seal,紅印,Hongyin;Hong Yin,china-national-tea-corporation,,Sheng,"One of the most revered designations in pu-erh history, originally referring to cakes marked with a red seal on the wrapper by the China National Tea Corporation. The name persisted for high-grade productions after the original Red Seal era passed."
three-cranes,Three Cranes,三鹤,San He,wuzhou-tea-factory,1953-,Dark,"The most recognized liu bao brand, produced by the Wuzhou Tea Factory in Guangxi since 1953. Known for a cleaner, more refined fermentation profile than village-produced liu bao."
wan-yan,Wan Yan,万言,Ten Thousand Words,liao-fu,,Dark,"A named premium product line ('Ten Thousand Words') within the Liao Fu dark tea lineage, produced at AAA grade."
yellow-label,Yellow Label,黄标,Huang Biao,,,Shou,"A yellow label marking a specific factory batch or grade designation on compressed pu-erh, seen here on an iron cake (tie bing) from the 1990s. The specific factory of origin is not stated."
yi-ji,Yi Ji,一级,First Grade,,,Dark,"A first-grade classification referring to leaf size and quality, indicating the finest, most tender material, typically from spring harvests."
zhen-pin,Zhen Pin,珍品,Precious Grade;Treasure Grade,,,Oolong,"A premium grading term meaning 'precious item' or 'treasure grade,' indicating the finest leaf selection and most careful processing within a tea's classification. Seen on Tie Guan Yin."
zhong-cha-pai,Zhong Cha Pai,中茶牌,Zhongcha;Zhong Cha,china-national-tea-corporation,,Shou,"The iconic brand of the China National Tea Corporation, marked by an eight-pointed 'zhong' character surrounded by a red circle. Appears on teas from multiple state-run and later privatized factories across decades."
