"id","name","chinese_name","alt_names","type","form","region","country","collection","vendor","provenance","tradition","description"
"courage","Courage","勇气","","Sheng","Loose","Yunnan","China","","HangJia","undisclosed","Chinese private-collection naming","This tea arrived already named by the private mainland-China collection that stored it. The province is known but the mountain, village and vintage are unrecorded; the name marks what the tea meant to the collector who kept it, not a growing origin."
"wisdom","Wisdom","智慧","","Sheng","Loose","Yunnan","China","","HangJia","undisclosed","Chinese private-collection naming","Named by the collector who stored it for a quality the tea seemed to carry beyond flavor. Origin beyond the Yunnan province and vintage are unrecorded."
"true-love","True Love","真爱","","Sheng","Loose","Yunnan","China","","HangJia","undisclosed","Chinese private-collection naming","The most direct of the personal names in this private collection, given by whoever stored and kept this sheng. Mountain, village and vintage are unrecorded."
"true-love-new","True Love New","真爱新茶","","Shou","Loose","Yunnan","China","","HangJia","undisclosed","Chinese private-collection naming","Carries the True Love name as a younger shou companion to the sheng of the same name. The write-up treats the two as likely connected in source, but that link, along with mountain, village and vintage, is undocumented."
"inspiration","Inspiration","灵感","","Sheng","Loose","Yunnan","China","","HangJia","undisclosed","Chinese private-collection naming","Named for a quality the collector found in the cup beyond ordinary flavor. Mountain, village and vintage are unrecorded."
"mercy","Mercy","慈悲","","Sheng","Loose","Yunnan","China","","HangJia","undisclosed","Chinese private-collection naming","Carries a Buddhist-resonant name chosen by whoever stored it. Mountain, village and vintage are unrecorded."
"passion","Passion","热情","","Sheng","Loose","Yunnan","China","","HangJia","undisclosed","Chinese private-collection naming","A bold personal name within the same private collection as Courage, Wisdom and Mercy. Mountain, village and vintage are unrecorded."
"new-rainbow","New Rainbow","新彩虹","","Sheng","Loose","Yunnan","China","","HangJia","undisclosed","Chinese private-collection naming, paired naming","The younger half of a paired new and old naming with Old Rainbow, from the same undocumented source. Mountain, village and vintage are unrecorded."
"old-rainbow","Old Rainbow","旧彩虹","","Sheng","Loose","Yunnan","China","","HangJia","undisclosed","Chinese private-collection naming, paired naming","The aged half of the Rainbow pair, from the same source as New Rainbow. Mountain, village and vintage are unrecorded."
"french-brick","French Brick","法国砖","","Sheng","Brick","Yunnan","China","","HangJia","undisclosed","undocumented export or trade-route naming","Named for a possible French-market, French Indochina export, or French storage history that is not documented. Production is placed in Yunnan, but the route the tea traveled, its mountain, village and vintage are unrecorded."
"universe","Universe","宇宙","","Oolong","Loose","","China","","HangJia","undisclosed","Chinese private-collection naming","An oolong named for the impression it made on whoever kept it. Terroir, cultivar and vintage are entirely unrecorded; only the country of production is stated."
"galaxy","Galaxy","银河","Silver River","Oolong","Loose","","China","","HangJia","undisclosed","Chinese private-collection naming","Galaxy (Yin He) means silver river, the Chinese name for the Milky Way, a cosmic name given to an oolong whose terroir and vintage are unrecorded; only the country of production is stated."
"orange-master-box","Orange Master Box","","","Oolong","Loose","","China","","HangJia","undisclosed","anonymous or packaging-only naming","Known only by the orange box it arrived in. No Chinese name, cultivar, origin or vintage is recorded; the tea's sole identity is its container and the word master printed on it."
"miracle-fate","Miracle Fate","奇缘","Qi Yuan","Shou","Loose","Yunnan","China","","HangJia","undisclosed","Chinese private-collection naming","Qi yuan carries the sense of a destined, unexpected encounter. The collector who stored it named it for the circumstance of finding it, not for its origin, which is unrecorded beyond the Yunnan province."
"tea-masters-cake","Tea Masters Cake","茶师饼","","Shou","Cake","Yunnan","China","","HangJia","undisclosed","Chinese private-collection naming","Whether the name refers to a brand, a maker's tribute, or a quality grade is undocumented. Mountain, village and vintage are unrecorded beyond the Yunnan province."
"yun-shen-chu","Yun Shen Chu","云深处","Deep in the Clouds","White","Cake","Yunnan","China","","Yunan Fam","partial","Chinese poetic tea-naming (named for the feeling of origin rather than a technical specification)","Named for the high-altitude, mist-shrouded forests it evokes rather than a specific garden. The write-up describes this as the Chinese tradition of naming a tea for the feeling of its origin; the exact garden and vintage are unrecorded."
"yue-chen-yue-xiang","Yue Chen Yue Xiang","越陈越香","The Older, The More Fragrant","White","Cake","Yunnan","China","","Yunan Fam","partial","Chinese proverbial tea-naming (an aging-potential aphorism used across pu-erh and white tea culture)","A phrase used across Chinese tea culture meaning the older, the more fragrant, applied here as the tea's name to signal it was made and stored with long aging in mind. The exact garden and vintage are unrecorded."
