id,name,country,province,altitude,climate
aichi-prefecture,Aichi Prefecture,Japan,Aichi,100-400m,"Temperate climate suitable for tea cultivation, includes Nishio Matcha region"
ailao-mountain,Ailao Mountain,China,,,
alishan,Alishan,Taiwan,,,
alishan-nantou-chiayi,"Alishan, Nantou/Chiayi",Taiwan,Nantou,1000-2300m,Famous mountain range for high-altitude tea cultivation
anhua,Anhua,China,Hunan,,Wild tea mountains at various elevations; the county's microbial environment is central to Anhua dark tea (heicha) character.
anhui,Anhui,China,,,
anji,Anji,China,,,
anji-county-zhejiang,"Anji County, Zhejiang",China,Zhejiang,400-800m,"Mountainous region with bamboo forests, cool misty climate ideal for green tea"
anxi,Anxi,China,,,
anxi-county-fujian,"Anxi County, Fujian",China,Fujian,300-1000m,"Mountainous terrain with red soil, ideal for oolong cultivation"
assam,Assam,India,,,
banzhang,Banzhang,China,Yunnan,,
bao-loc,Bao Loc,Vietnam,,,
bao-loc-lam-dong,"Bao Loc, Lam Dong",Vietnam,Lam Dong,800-1200m,Tea cultivation center in southern Vietnam
beipu,Beipu,Taiwan,Hsinchu,,"Hakka settlement in northwestern Taiwan at moderate elevation; warm, humid conditions and rolling hills, producing fuller-bodied oolong with less high-mountain floral character than central mountain regions; also known for Oriental Beauty."
bergamot,Bergamot,Italy,Calabria,200-600m,Mediterranean climate ideal for bergamot citrus cultivation
bitaco-valle-del-cauca,"Bitaco, Valle del Cauca",Colombia,Valle del Cauca,1400-1700m,Mountain area with experimental tea cultivation
boseong,Boseong,South Korea,,,
bozhou,Bozhou,China,,,
bulang-mountain,Bulang Mountain,China,Yunnan,,
cangwu,Cangwu,China,Guangxi,,"Centered dark-tea tradition along the Xijiang river system; warm, humid climate and soil conditions support the microbial cultures that define liu bao and Liao Fu character."
ceylon,Ceylon,Sri Lanka,Central Highlands,1000-2500m,"High altitude tropical climate, produces bright citrusy black tea"
changkeng-anxi,"Changkeng, Anxi",China,Fujian,400-800m,Another high altitude area in Anxi for premium oolongs
chiang-rai,Chiang Rai,Thailand,,,
chiang-rai-province,Chiang Rai Province,Thailand,Chiang Rai,500-1500m,Northern Thailand mountains with suitable climate for oolong
chiayi-county,Chiayi County,Taiwan,Chiayi,200-2000m,Includes Alishan mountain area for high-altitude teas
china,China,China,Various Provinces,100-2000m,Diverse tea growing regions across the country
chuzhou,Chuzhou,China,,,
da-xue-shan,Da Xue Shan,China,Yunnan,2000-2800m,"Dense subtropical forest; wild trees grow in deep forest shade with no pruning, fertilizing, or managed picking paths; ancient forest-floor soil rich in organic matter from leaf fall."
da-yu-ling,Da Yu Ling,Taiwan,,,
dali,Dali,China,Yunnan,,Named as one endpoint of wild-tea forests between Dali and Lincang in western Yunnan; exact grove unrecorded.
daping-anxi,"Daping, Anxi",China,Fujian,400-800m,High altitude area within Anxi known for Ben Shan cultivar
darjeeling,Darjeeling,India,West Bengal,2000-2500m,"High altitude Himalayan foothills, famous for muscatel flavor"
dehong,Dehong,China,,,
dimbula,Dimbula,Sri Lanka,,,
doi-mae-salong,Doi Mae Salong,Thailand,,,
doke,Doke,India,,,
dong-ding,Dong Ding,Taiwan,,,
dongting-east-mountain,Dongting East Mountain,China,Jiangsu,100-250m,"Eastern island in Tai Lake, traditional Bi Luo Chun area"
dongting-mountains-suzhou,"Dongting Mountains, Suzhou",China,Jiangsu,100-300m,"Lake islands with unique microclimate, famous for Bi Luo Chun"
dongting-west-mountain,Dongting West Mountain,China,Jiangsu,100-300m,"Western island in Tai Lake, another core Bi Luo Chun region"
emei-mountain,Emei Mountain,China,,,
enshi,Enshi,China,,,
ethiopia,Ethiopia,Ethiopia,,,
fu-an-city-fujian,"Fu'an City, Fujian",China,Fujian,300-700m,Mountain region supporting Da Bai cultivation
fuding,Fuding,China,,,
fuding-fujian,"Fuding, Fujian",China,Fujian,400-800m,"Coastal mountain region, origin of white tea production"
fujian,Fujian,China,,,
fukuoka-prefecture,Fukuoka Prefecture,Japan,Fukuoka,100-500m,"Southern Japan with warm climate, birthplace of Saemidori"
georgia,Georgia,Georgia,,,
guangdong,Guangdong,China,,,
guangxi,Guangxi,China,,,
guizhou,Guizhou,China,,,
hadong,Hadong,South Korea,,,
hangzhou,Hangzhou,China,,,
hangzhou-zhejiang,"Hangzhou, Zhejiang",China,Zhejiang,100-300m,"Lake microclimate with morning mist, perfect for Long Jing cultivation"
hsinchu,Hsinchu,Taiwan,,,
hsinchu-county,Hsinchu County,Taiwan,Hsinchu,200-1200m,Mountainous region known for Oriental Beauty oolong
hualien-county,Hualien County,Taiwan,Hualien,300-1500m,Eastern Taiwan with mountainous terrain
huangshan,Huangshan,China,,,
huangshan-mountains,Huangshan Mountains,China,Anhui,600-1200m,"Famous scenic mountains with granite peaks and pine forests, ideal for green tea"
hukou-township-anxi,"Hukou Township, Anxi",China,Fujian,300-700m,Traditional area for Huang Jin Gui cultivation
hunan,Hunan,China,,,
