name_english,name_native,description,origin_country,origin_region,development_year,parentage,also_known_as,plant_type,optimal_environment,geographic_distribution,tea_expressions,sensory_footprint,processing_suitability_details,oxidation_details,roasting_details,style_versatility
Yabukita,やぶきた,"'North of the Bamboo Grove'. The undisputed king of Japanese tea, accounting for over 75% of all tea production in Japan. Discovered in 1908, it became the national standard due to its hardiness, high yield, and a perfectly balanced flavor profile of umami and refreshing astringency. It is the benchmark against which all other Japanese green teas are measured.",Japan,Shizuoka,1908,"Selected from a native Zairai population by Sugiyama Hikosaburo.","N/A","Hardy, vigorous, and highly adaptable mid-budding bush (Camellia sinensis var. sinensis).","Extremely adaptable to a wide range of climates and altitudes, from the cool mountains of Shizuoka to the warm plains of Kagoshima.","{""japan"": [""Shizuoka"", ""Kagoshima"", ""Mie"", ""Kyoto"", ""Fukuoka"", ""virtually all tea regions""]}","{""Sencha"": {""Classic Sencha"": ""Its most iconic expression. A perfectly balanced steamed green tea with classic umami and vegetal notes.""}, ""Fukamushi Sencha"": {""Deep-Steamed Sencha"": ""Its flavor holds up well to deep-steaming, creating a bolder, greener, and less astringent tea.""}, ""Gyokuro & Matcha"": {""Shaded Teas"": ""While not an elite shading cultivar, it is widely used to produce reliable and good quality Gyokuro and Matcha.""}}","{""aroma"": ""Classic fresh grass, nori seaweed, hint of melon"", ""flavor"": ""Perfect balance of umami and refreshing astringency, sweet vegetal notes"", ""mouthfeel_liquor"": ""Smooth, medium-bodied, and clean with a refreshing finish. The liquor is a classic vibrant yellow-green.""}"","Yabukita's well-balanced chemical composition and durable leaves make it suitable for virtually any Japanese green tea processing method, from light steaming (Asamushi) to deep steaming (Fukamushi).","Zero oxidation. The leaves are steamed immediately after harvest to halt all enzymatic activity. The steaming time (30-120 seconds) determines the style (Asamushi, Chumushi, or Fukamushi).","Receives a final drying roast ('hi-ire') to stabilize the tea and enhance its aroma. This is typically a light bake, not a heavy roast.","Extremely versatile. It is the workhorse of the Japanese tea industry and can be skillfully crafted into almost any type of Japanese tea, making it the most versatile of all Japanese cultivars."
Yutakamidori,ゆたかみどり,"'Abundant Green'. An early-budding cultivar that is a cornerstone of the tea industry in Kagoshima, Japan's second-largest tea-producing region. It is famous for producing a bold, full-bodied, and sweet Fukamushi (deep-steamed) Sencha with very low astringency and a beautiful, deep green color.",Japan,Kagoshima,1966,"Selected from a native Zairai population.","Abundant Green","Vigorous, early-budding bush, not very cold-resistant (Camellia sinensis var. sinensis).","Thrives in the warm, subtropical climate of southern Japan, particularly Kagoshima. Its early budding makes it ideal for the first harvest of the year ('shincha').","{""japan"": [""Kagoshima (dominant cultivar)"", ""Miyazaki"", ""other warm regions""]}","{""Fukamushi Sencha"": {""Deep-Steamed Sencha"": ""Its premier expression. Deep-steaming breaks down its leaves, creating a bold, sweet, and vividly green tea with a thick body.""}}","{""aroma"": ""Sweet greens, hint of sweet corn"", ""flavor"": ""Bold, sweet, slightly milky, and very low in astringency."", ""mouthfeel_liquor"": ""Thick, full-bodied, and rich with a smooth texture. The liquor is a characteristic deep, opaque green.""}","The bold character of Yutakamidori's leaves makes them perfectly suited for the intense deep-steaming (Fukamushi) process, which can overwhelm more delicate cultivars.","Zero oxidation. Like other Japanese green teas, it is steamed immediately after harvest. It is most commonly deep-steamed (60-120 seconds).","Receives a final drying roast ('hi-ire'). The roast for Yutakamidori is often slightly stronger to complement its bold, sweet character.","Specialized for Sencha. While it can be processed with lighter steaming, its identity and value are almost exclusively tied to the deep-steamed Fukamushi style."
Saemidori,さえみどり,"'Clear Green'. A modern elite cultivar celebrated for its incredibly vibrant emerald green color, powerful umami, and remarkable sweetness with very little bitterness. It is a hybrid of Yabukita and the umami-rich Asatsuyu, and is often used for producing high-end, competition-grade Sencha, Gyokuro, and Matcha.",Japan,Fukuoka,1990,"Yabukita x Asatsuyu","Clear Green","Early-budding, medium vigor, and sensitive to cold (Camellia sinensis var. sinensis).","Requires careful cultivation and is not as hardy as Yabukita. It performs best in the milder climates of southern Japan.","{""japan"": [""Kagoshima"", ""Fukuoka"", ""Shizuoka"", ""Miyazaki""]}","{""Sencha"": {""Premium Sencha"": ""Creates a very sweet, umami-rich Sencha with a stunning green color.""}, ""Gyokuro & Matcha"": {""Shaded Teas"": ""It responds exceptionally well to shading, developing intense umami, making it a top choice for high-grade Gyokuro and ceremonial Matcha.""}}","{""aroma"": ""Sweet greens, edamame, fresh cream"", ""flavor"": ""Powerful and sweet umami, very low bitterness, with a clean and lasting sweetness."", ""mouthfeel_liquor"": ""Smooth, rich, and full-bodied with a very refined texture. The liquor is a famously brilliant, vibrant emerald green.""}","Saemidori's chemical profile is high in amino acids (the source of umami) and low in catechins (the source of bitterness), making it ideal for producing sweet, rich teas. It is best with light-to-normal steaming to preserve its refined character.","Zero oxidation. It is steamed immediately after harvest. When used for Gyokuro or Matcha, it is shaded for several weeks prior to harvest to further boost its amino acid content.","Receives a very light final drying roast. The goal is to preserve its vibrant color and delicate, sweet flavors without adding any toasty notes.","Highly versatile for premium teas. It is a top-tier cultivar for producing exceptional quality Sencha, Gyokuro, and Matcha."
Okumidori,おくみどり,"'Late Green'. A versatile and popular late-budding cultivar, harvested about a week after Yabukita. It is prized for its well-rounded, rich, and creamy flavor profile, low astringency, and a refreshing, slightly pine-like aroma. Its balanced character and late harvest make it an excellent choice for blending and for high-quality Matcha.",Japan,Shizuoka,1974,"Yabukita x a native Shizuoka Zairai","Late Green","Late-budding, vigorous bush with good cold resistance (Camellia sinensis var. sinensis).","Highly adaptable to various climates, its late budding helps farmers extend their harvest season and avoid spring frost damage.","{""japan"": [""Kyoto (Uji)"", ""Shizuoka"", ""Kagoshima"", ""Mie""]}","{""Matcha & Tencha"": {""High-Quality Matcha"": ""Its creamy flavor, low astringency, and good color make it one of the most popular cultivars for producing high-grade Matcha.""}, ""Sencha"": {""Balanced Sencha"": ""Produces a smooth, satisfying Sencha that is less astringent than Yabukita.""}, ""Blending"": {""Blender"": ""Its balanced profile makes it an excellent component for blending with other cultivars.""}}","{""aroma"": ""Refreshing pine, fresh greens, creamy notes"", ""flavor"": ""Rich, creamy, good umami, and a smooth, mellow sweetness."", ""mouthfeel_liquor"": ""Smooth, full-bodied, and satisfying with a refreshing finish. The liquor is a deep, rich green.""}","Okumidori's balanced profile makes it very forgiving in processing. It responds well to various steaming levels and is an excellent candidate for shading, which enhances its creamy texture and umami.","Zero oxidation. Steamed immediately after harvest. It is frequently shaded before being processed into Tencha for Matcha production.","Receives a standard light drying roast ('hi-ire') to enhance its aroma and ensure stability.","Very versatile. It is a star performer for Matcha and high-quality Sencha, and its role as a blending component makes it a cornerstone of the industry."
Asatsuyu,あさつゆ,"'Morning Dew'. A legendary cultivar often referred to as a 'natural Gyokuro' due to its intense, sweet umami flavor, even when grown unshaded as Sencha. It is one of the parents of the elite Saemidori cultivar and is prized by connoisseurs for its powerful, savory, and sweet character, though it can be difficult to cultivate.",Japan,Kyoto,1953,"Selected from a native Uji Zairai population.","Morning Dew, Natural Gyokuro","Weak, slow-growing bush that is not cold-resistant and has low yield (Camellia sinensis var. sinensis).","Difficult to grow, requiring the stable, mild climate of regions like southern Kagoshima. Its demanding nature makes it a rare, specialty cultivar.","{""japan"": [""Kagoshima"", ""Shizuoka""]}","{""Sencha"": {""Premium Sencha"": ""Its main expression. It creates an intensely savory and sweet Sencha with a flavor profile that rivals some shaded teas.""}, ""Gyokuro"": {""Shaded Tea"": ""When shaded, its already high umami content is pushed to extreme levels, creating a very powerful Gyokuro.""}}","{""aroma"": ""Intense savory notes, sweet peas, nori seaweed"", ""flavor"": ""Powerful, concentrated umami and a deep, lasting sweetness. Often described as brothy or savory."", ""mouthfeel_liquor"": ""Thick, rich, and full-bodied with a very smooth texture. The liquor is a deep emerald green.""}","Asatsuyu's unique genetics give it a very high amino acid content naturally. Processing must be done carefully to highlight this trait. It is best with light steaming to preserve its concentrated flavor.","Zero oxidation. Steamed immediately after picking to lock in its powerful umami character.","Requires a very light final drying roast to avoid masking its prized 'natural Gyokuro' flavor.","Specialized for premium Sencha. While it can make excellent Gyokuro, its fame comes from its ability to produce a Sencha with Gyokuro-like intensity."
Kanayamidori,かなやみどり,"A mid-budding cultivar known for its distinctive, slightly sweet, and milky or vanilla-like aroma. It is a popular choice for both Sencha and Fukamushi Sencha, and its unique fragrance also makes it a favorite for producing aromatic, lightly roasted Hojicha.",Japan,Shizuoka,1970,"Yabukita x a native Shizuoka Zairai","N/A","Vigorous, mid-budding bush with good yield (Camellia sinensis var. sinensis).","Adaptable to a variety of climates, grown in many regions across Japan.","{""japan"": [""Shizuoka"", ""Kagoshima"", ""Mie""]}","{""Sencha & Fukamushi Sencha"": {""Aromatic Sencha"": ""Produces a Sencha with a unique, sweet, milky fragrance on top of a classic green tea base.""}, ""Hojicha"": {""Aromatic Hojicha"": ""Its inherent sweetness and milky notes are enhanced by roasting, creating a very fragrant and comforting Hojicha.""}}","{""aroma"": ""Distinct milky or vanilla-like sweetness, fresh greens"", ""flavor"": ""Smooth, sweet, with a unique milky character and low astringency."", ""mouthfeel_liquor"": ""Smooth, medium-bodied, and mellow. The liquor is a bright green-yellow.""}","Kanayamidori's unique aromatic profile is the focus of its processing. It holds up well to both standard and deep steaming, which can enhance its creamy texture.","Zero oxidation. It is steamed immediately after harvest to preserve its green tea character and unique aroma.","Versatile in roasting. For Sencha, it receives a light drying roast. However, it is an excellent candidate for the heavier roasting required to make Hojicha, as its sweet character complements the toasty flavors perfectly.","Quite versatile. It is popular as a unique style of Sencha and is also one of the best cultivars for making high-quality Hojicha."
Oku Yutaka,おくゆたか,"'Late Abundant'. A late-budding hybrid of Yabukita and Yutakamidori, Oku Yutaka combines the robust body of its parents with a refined, less astringent flavor. It is a high-yielding and disease-resistant cultivar, valued for producing a full-bodied Sencha with a rich flavor and a bright green color.",Japan,Shizuoka,1989,"Yabukita x Yutakamidori","Late Abundant","Late-budding, vigorous, and high-yielding bush with strong disease resistance (Camellia sinensis var. sinensis).","Adaptable and hardy, its late budding makes it a valuable addition for farmers looking to extend their spring harvest season.","{""japan"": [""Shizuoka"", ""Kagoshima""]}","{""Sencha & Fukamushi Sencha"": {""Full-bodied Sencha"": ""It is primarily used for Sencha, especially deep-steamed, where it produces a tea with a strong body, good sweetness, and low astringency.""}}","{""aroma"": ""Fresh greens, sweet, slightly milky"", ""flavor"": ""Rich, full, and sweet with a satisfying depth and very little bitterness."", ""mouthfeel_liquor"": ""Full-bodied and smooth with a rich texture. The liquor is a vivid, bright green.""}","Oku Yutaka's robust leaves and bold flavor profile make it an ideal candidate for deep-steaming (Fukamushi), which enhances its natural sweetness and creates a tea with a very strong presence.","Zero oxidation. Steamed immediately after harvest, typically with a medium (Chumushi) or deep (Fukamushi) steaming time.","Receives a standard final drying roast ('hi-ire') that is well-suited to its rich and full-bodied character.","Specialized for Sencha. Its primary role is to produce high-quality, full-bodied Sencha, particularly in the deep-steamed style."
Meiryoku,めいりょく,"A late-budding cultivar known for producing a Sencha with a refreshing, slightly floral aroma and a unique, bright flavor with hints of citrus and spice. It has a very favorable chemical composition with high amino acid content and is also noted for its strong resistance to common tea plant diseases.",Japan,Shizuoka,1979,"Yabukita x a native Shizuoka Zairai","N/A","Late-budding, vigorous bush with excellent disease resistance (Camellia sinensis var. sinensis).","Very hardy and adaptable, making it a reliable cultivar for farmers in various regions.","{""japan"": [""Shizuoka"", ""other regions""]}","{""Sencha"": {""Aromatic Sencha"": ""Its primary use is to create a Sencha with a unique and refreshing aromatic profile, setting it apart from more classic vegetal or umami-focused teas.""}}","{""aroma"": ""Refreshing, slightly floral, hints of citrus and spice"", ""flavor"": ""Bright, clean, and refreshing with good sweetness and a unique, slightly zesty character."", ""mouthfeel_liquor"": ""Smooth, medium-bodied, and clean with a very brisk and uplifting finish. The liquor is a bright, clear green-yellow.""}","Meiryoku is processed to highlight its unique aromatics. Standard steaming (Chumushi) is typically used to preserve the balance between its fresh green character and its floral/citrus top notes.","Zero oxidation. Steamed immediately after harvest to lock in its unique aromatic compounds.","A light final drying roast is applied to stabilize the tea without overpowering its refreshing, zesty aroma.","Specialized for Sencha. It offers a unique and distinct aromatic profile within the Sencha category, appealing to those looking for a different kind of fragrance."
Goko,ごこう,"'Enlightenment'. A classic and elite cultivar from Uji, Kyoto, Goko is one of the most important traditional cultivars for producing the highest grades of Gyokuro and Matcha. It is celebrated for its ability to develop an intense, profound, and savory 'umami' flavor when shaded, creating the archetypal 'brothy' character of Uji Gyokuro.",Japan,Kyoto (Uji),1950,"Selected from the native Uji Zairai population.","Gokoh","Medium-sized, semi-upright bush, specifically adapted for shaded cultivation (Camellia sinensis var. sinensis).","Thrives in the rich, alluvial soils and stable, mild climate of the Uji region in Kyoto. It is a specialist cultivar for shaded tea production.","{""japan"": [""Kyoto (Uji - its home and most famous region)"", ""Other regions producing high-end Matcha""]}","{""Gyokuro"": {""Uji Gyokuro"": ""Its most famous expression. When shaded, it produces a tea with an intense, soupy umami and a deep, savory, oceanic flavor.""}, ""Matcha & Tencha"": {""Ceremonial Matcha"": ""It is a key cultivar for high-grade, ceremonial Matcha, prized for its deep flavor and rich texture.""}}","{""aroma"": ""Intense savory, oceanic, nori seaweed"", ""flavor"": ""Powerful, concentrated, broth-like umami with a deep and lasting sweetness."", ""mouthfeel_liquor"": ""Extremely thick, viscous, and soupy, coating the entire mouth. The liquor is a deep, rich emerald green.""}","Goko is a shading specialist. It must be shaded from direct sunlight for at least 20 days before harvest. This forces the plant to produce high levels of L-theanine (umami) and chlorophyll, which is the source of its unique character.","Zero oxidation. After harvest, the leaves are lightly steamed to preserve their delicate, umami-rich composition.","No roasting. The leaves (as Tencha for Matcha) are dried in special ovens ('tencha-ro') that use indirect heat to dry them without any rolling or roasting, preserving their flavor and color for grinding.","Extremely specialized. Goko is a 'thoroughbred' cultivar exclusively used for producing the highest quality shaded teas: Gyokuro and Matcha."
Ujihikari,うじひかり,"'Light of Uji'. A premier modern cultivar from Uji, Kyoto, developed specifically for shaded tea production. It is known for its elegant, refined character, a brilliant green color, and a sweet, clean umami profile that is slightly less brothy and more refined than Goko. It is a top choice for competition-grade Gyokuro and Matcha.",Japan,Kyoto (Uji),1950,"Selected from the native Uji Zairai population.","Light of Uji","Upright, vigorous bush well-suited for shaded cultivation (Camellia sinensis var. sinensis).","Grows best in the rich soils and mild climate of Uji, where it was developed.","{""japan"": [""Kyoto (Uji)""]}","{""Gyokuro"": {""Competition-Grade Gyokuro"": ""Produces a very refined and elegant Gyokuro with a clean, sweet umami and a beautiful appearance.""}, ""Matcha & Tencha"": {""Premium Matcha"": ""Used for high-grade Matcha that is prized for its bright color and clean, sweet flavor.""}}","{""aroma"": ""Sweet, clean, fresh green aroma"", ""flavor"": ""Elegant and refined umami, with a prominent sweetness and a very clean finish."", ""mouthfeel_liquor"": ""Smooth, rich, and full-bodied, but with a cleaner and less brothy texture than Goko. The liquor is a brilliant, luminous green.""}","Like Goko, Ujihikari is a shading specialist. It is shaded for at least 20 days before harvest to maximize its amino acid and chlorophyll content, which is the source of its refined, sweet umami.","Zero oxidation. The leaves are lightly steamed immediately after harvest.","No roasting. For Matcha, the leaves are processed into Tencha by drying in a 'tencha-ro' oven without rolling to preserve their character for stone-grinding.","Extremely specialized. Ujihikari is an elite cultivar used exclusively for producing premium Gyokuro and Matcha, particularly in its home region of Uji."
