id,name,country,region,altitude_range,climate_notes,tea_types,cultivars
afe5f3f2-f70c-4fb2-92dc-032fe3166bc2,"Anji County, Zhejiang",China,Zhejiang,400-800m,"Mountainous region with bamboo forests, cool misty climate ideal for green tea",Da Hong Pao; English Breakfast; Ti Kuan Yin; Sencha; Matcha; Sheng; Darjeeling; Earl Grey,Shizu-7132; Yiwu Da Ye Zhong; Shi Da Cha; Wuyi Cai Cha; Mao Xie; Si Ji Chun; Ujihikari; Long Jing Qunti Zhong; Saemidori; Xing Ren Xiang; Okuhikari; Kirari 31; Okumidori; Chin Hsin; Inzatsu 131; Bei Dou; Hong Yun; Huang Guan Yin; Da Hong Pao; Zhi Lan Xiang; Anji Bai Cha; Tie Guan Yin; Fuding Da Bai; Kanayamidori; Shui Jin Gui; Cui Yu; Sofu; Shui Xian; Taiwanese Wild Tea; Qi Men Zhong; Tie Luo Han; Da Ye Zhong; Zi Juan; Song Zhong; Goko; Ben Shan; Benifuki; Jin Xuan; Hong Yu; Mengku Da Ye Zhong; Mi Lan Xiang; Tong Tian Xiang; Benihikari; Bai Ji Guan; Koshun; Qi Lan; Huangshan Qunti Zhong; Oku Yutaka; Rou Gui; Ying Xiang; Zhenghe Da Bai; Ya Shi Xiang; Wu Yi; Yutakamidori; Zairai; Qing Xin; Qing Xin Da Mao; Samidori; Asahi; Bai Wen; Komakage; Meiryoku; Mei Zhan; Liu An Gua Pian; Fo Shou; Ju Duo Zai; Long Jing #43; Da Yeh Oolong; Bi Luo Chun Qunti; Gui Hua Xiang; Que She; Huang Jin Gui; Mengding Ganlu; Ban Tian Yao; Ba Xian; Qing Xin Gan Zhi; Asatsuyu
1055f69d-decc-461d-8997-2eb74e18ba6c,"West Lake, Hangzhou",China,Zhejiang,100-300m,"Lake microclimate with morning mist, perfect for Long Jing cultivation",Da Hong Pao; English Breakfast; Ti Kuan Yin; Sencha; Matcha; Sheng; Darjeeling; Earl Grey,Shizu-7132; Yiwu Da Ye Zhong; Shi Da Cha; Wuyi Cai Cha; Mao Xie; Si Ji Chun; Ujihikari; Long Jing Qunti Zhong; Saemidori; Xing Ren Xiang; Okuhikari; Kirari 31; Okumidori; Chin Hsin; Inzatsu 131; Bei Dou; Hong Yun; Huang Guan Yin; Da Hong Pao; Zhi Lan Xiang; Anji Bai Cha; Tie Guan Yin; Fuding Da Bai; Kanayamidori; Shui Jin Gui; Cui Yu; Sofu; Shui Xian; Taiwanese Wild Tea; Qi Men Zhong; Tie Luo Han; Da Ye Zhong; Zi Juan; Song Zhong; Goko; Ben Shan; Benifuki; Jin Xuan; Hong Yu; Mengku Da Ye Zhong; Mi Lan Xiang; Tong Tian Xiang; Benihikari; Bai Ji Guan; Koshun; Qi Lan; Huangshan Qunti Zhong; Oku Yutaka; Rou Gui; Ying Xiang; Zhenghe Da Bai; Ya Shi Xiang; Wu Yi; Yutakamidori; Zairai; Qing Xin; Qing Xin Da Mao; Samidori; Asahi; Bai Wen; Komakage; Meiryoku; Mei Zhan; Liu An Gua Pian; Fo Shou; Ju Duo Zai; Long Jing #43; Da Yeh Oolong; Bi Luo Chun Qunti; Gui Hua Xiang; Que She; Huang Jin Gui; Mengding Ganlu; Ban Tian Yao; Ba Xian; Qing Xin Gan Zhi; Asatsuyu
8a1c8188-9fa8-49b8-8ca2-54258867843f,"Shifeng Mountain, Hangzhou",China,Zhejiang,150-300m,"Core West Lake scenic area, optimal terroir for premium Long Jing",Da Hong Pao; English Breakfast; Ti Kuan Yin; Sencha; Matcha; Sheng; Darjeeling; Earl Grey,Shizu-7132; Yiwu Da Ye Zhong; Shi Da Cha; Wuyi Cai Cha; Mao Xie; Si Ji Chun; Ujihikari; Long Jing Qunti Zhong; Saemidori; Xing Ren Xiang; Okuhikari; Kirari 31; Okumidori; Chin Hsin; Inzatsu 131; Bei Dou; Hong Yun; Huang Guan Yin; Da Hong Pao; Zhi Lan Xiang; Anji Bai Cha; Tie Guan Yin; Fuding Da Bai; Kanayamidori; Shui Jin Gui; Cui Yu; Sofu; Shui Xian; Taiwanese Wild Tea; Qi Men Zhong; Tie Luo Han; Da Ye Zhong; Zi Juan; Song Zhong; Goko; Ben Shan; Benifuki; Jin Xuan; Hong Yu; Mengku Da Ye Zhong; Mi Lan Xiang; Tong Tian Xiang; Benihikari; Bai Ji Guan; Koshun; Qi Lan; Huangshan Qunti Zhong; Oku Yutaka; Rou Gui; Ying Xiang; Zhenghe Da Bai; Ya Shi Xiang; Wu Yi; Yutakamidori; Zairai; Qing Xin; Qing Xin Da Mao; Samidori; Asahi; Bai Wen; Komakage; Meiryoku; Mei Zhan; Liu An Gua Pian; Fo Shou; Ju Duo Zai; Long Jing #43; Da Yeh Oolong; Bi Luo Chun Qunti; Gui Hua Xiang; Que She; Huang Jin Gui; Mengding Ganlu; Ban Tian Yao; Ba Xian; Qing Xin Gan Zhi; Asatsuyu
26a40018-41cd-4a8c-add6-841bfa10d485,"Anxi County, Fujian",China,Fujian,300-1000m,"Mountainous terrain with red soil, ideal for oolong cultivation",Da Hong Pao; English Breakfast; Ti Kuan Yin; Sencha; Matcha; Sheng; Darjeeling; Earl Grey,Shizu-7132; Yiwu Da Ye Zhong; Shi Da Cha; Wuyi Cai Cha; Mao Xie; Si Ji Chun; Ujihikari; Long Jing Qunti Zhong; Saemidori; Xing Ren Xiang; Okuhikari; Kirari 31; Okumidori; Chin Hsin; Inzatsu 131; Bei Dou; Hong Yun; Huang Guan Yin; Da Hong Pao; Zhi Lan Xiang; Anji Bai Cha; Tie Guan Yin; Fuding Da Bai; Kanayamidori; Shui Jin Gui; Cui Yu; Sofu; Shui Xian; Taiwanese Wild Tea; Qi Men Zhong; Tie Luo Han; Da Ye Zhong; Zi Juan; Song Zhong; Goko; Ben Shan; Benifuki; Jin Xuan; Hong Yu; Mengku Da Ye Zhong; Mi Lan Xiang; Tong Tian Xiang; Benihikari; Bai Ji Guan; Koshun; Qi Lan; Huangshan Qunti Zhong; Oku Yutaka; Rou Gui; Ying Xiang; Zhenghe Da Bai; Ya Shi Xiang; Wu Yi; Yutakamidori; Zairai; Qing Xin; Qing Xin Da Mao; Samidori; Asahi; Bai Wen; Komakage; Meiryoku; Mei Zhan; Liu An Gua Pian; Fo Shou; Ju Duo Zai; Long Jing #43; Da Yeh Oolong; Bi Luo Chun Qunti; Gui Hua Xiang; Que She; Huang Jin Gui; Mengding Ganlu; Ban Tian Yao; Ba Xian; Qing Xin Gan Zhi; Asatsuyu
5aa49e23-10b9-479f-b6bb-07b82f812763,"Daping, Anxi",China,Fujian,400-800m,High altitude area within Anxi known for Ben Shan cultivar,Da Hong Pao; English Breakfast; Ti Kuan Yin; Sencha; Matcha; Sheng; Darjeeling; Earl Grey,Shizu-7132; Yiwu Da Ye Zhong; Shi Da Cha; Wuyi Cai Cha; Mao Xie; Si Ji Chun; Ujihikari; Long Jing Qunti Zhong; Saemidori; Xing Ren Xiang; Okuhikari; Kirari 31; Okumidori; Chin Hsin; Inzatsu 131; Bei Dou; Hong Yun; Huang Guan Yin; Da Hong Pao; Zhi Lan Xiang; Anji Bai Cha; Tie Guan Yin; Fuding Da Bai; Kanayamidori; Shui Jin Gui; Cui Yu; Sofu; Shui Xian; Taiwanese Wild Tea; Qi Men Zhong; Tie Luo Han; Da Ye Zhong; Zi Juan; Song Zhong; Goko; Ben Shan; Benifuki; Jin Xuan; Hong Yu; Mengku Da Ye Zhong; Mi Lan Xiang; Tong Tian Xiang; Benihikari; Bai Ji Guan; Koshun; Qi Lan; Huangshan Qunti Zhong; Oku Yutaka; Rou Gui; Ying Xiang; Zhenghe Da Bai; Ya Shi Xiang; Wu Yi; Yutakamidori; Zairai; Qing Xin; Qing Xin Da Mao; Samidori; Asahi; Bai Wen; Komakage; Meiryoku; Mei Zhan; Liu An Gua Pian; Fo Shou; Ju Duo Zai; Long Jing #43; Da Yeh Oolong; Bi Luo Chun Qunti; Gui Hua Xiang; Que She; Huang Jin Gui; Mengding Ganlu; Ban Tian Yao; Ba Xian; Qing Xin Gan Zhi; Asatsuyu
08f9d9d6-88a3-426a-bcbe-a1ff9f589518,"Changkeng, Anxi",China,Fujian,400-800m,Another high altitude area in Anxi for premium oolongs,Da Hong Pao; English Breakfast; Ti Kuan Yin; Sencha; Matcha; Sheng; Darjeeling; Earl Grey,Shizu-7132; Yiwu Da Ye Zhong; Shi Da Cha; Wuyi Cai Cha; Mao Xie; Si Ji Chun; Ujihikari; Long Jing Qunti Zhong; Saemidori; Xing Ren Xiang; Okuhikari; Kirari 31; Okumidori; Chin Hsin; Inzatsu 131; Bei Dou; Hong Yun; Huang Guan Yin; Da Hong Pao; Zhi Lan Xiang; Anji Bai Cha; Tie Guan Yin; Fuding Da Bai; Kanayamidori; Shui Jin Gui; Cui Yu; Sofu; Shui Xian; Taiwanese Wild Tea; Qi Men Zhong; Tie Luo Han; Da Ye Zhong; Zi Juan; Song Zhong; Goko; Ben Shan; Benifuki; Jin Xuan; Hong Yu; Mengku Da Ye Zhong; Mi Lan Xiang; Tong Tian Xiang; Benihikari; Bai Ji Guan; Koshun; Qi Lan; Huangshan Qunti Zhong; Oku Yutaka; Rou Gui; Ying Xiang; Zhenghe Da Bai; Ya Shi Xiang; Wu Yi; Yutakamidori; Zairai; Qing Xin; Qing Xin Da Mao; Samidori; Asahi; Bai Wen; Komakage; Meiryoku; Mei Zhan; Liu An Gua Pian; Fo Shou; Ju Duo Zai; Long Jing #43; Da Yeh Oolong; Bi Luo Chun Qunti; Gui Hua Xiang; Que She; Huang Jin Gui; Mengding Ganlu; Ban Tian Yao; Ba Xian; Qing Xin Gan Zhi; Asatsuyu
ed40e2a9-46eb-4599-9af5-125549019cd3,"Hukou Township, Anxi",China,Fujian,300-700m,Traditional area for Huang Jin Gui cultivation,Da Hong Pao; English Breakfast; Ti Kuan Yin; Sencha; Matcha; Sheng; Darjeeling; Earl Grey,Shizu-7132; Yiwu Da Ye Zhong; Shi Da Cha; Wuyi Cai Cha; Mao Xie; Si Ji Chun; Ujihikari; Long Jing Qunti Zhong; Saemidori; Xing Ren Xiang; Okuhikari; Kirari 31; Okumidori; Chin Hsin; Inzatsu 131; Bei Dou; Hong Yun; Huang Guan Yin; Da Hong Pao; Zhi Lan Xiang; Anji Bai Cha; Tie Guan Yin; Fuding Da Bai; Kanayamidori; Shui Jin Gui; Cui Yu; Sofu; Shui Xian; Taiwanese Wild Tea; Qi Men Zhong; Tie Luo Han; Da Ye Zhong; Zi Juan; Song Zhong; Goko; Ben Shan; Benifuki; Jin Xuan; Hong Yu; Mengku Da Ye Zhong; Mi Lan Xiang; Tong Tian Xiang; Benihikari; Bai Ji Guan; Koshun; Qi Lan; Huangshan Qunti Zhong; Oku Yutaka; Rou Gui; Ying Xiang; Zhenghe Da Bai; Ya Shi Xiang; Wu Yi; Yutakamidori; Zairai; Qing Xin; Qing Xin Da Mao; Samidori; Asahi; Bai Wen; Komakage; Meiryoku; Mei Zhan; Liu An Gua Pian; Fo Shou; Ju Duo Zai; Long Jing #43; Da Yeh Oolong; Bi Luo Chun Qunti; Gui Hua Xiang; Que She; Huang Jin Gui; Mengding Ganlu; Ban Tian Yao; Ba Xian; Qing Xin Gan Zhi; Asatsuyu
c9ce1175-58b0-4205-9267-658733dfed05,"Xiapu County, Fujian",China,Fujian,200-600m,"Coastal region near Fuding, also grows Da Bai cultivar",Da Hong Pao; English Breakfast; Ti Kuan Yin; Sencha; Matcha; Sheng; Darjeeling; Earl Grey,Shizu-7132; Yiwu Da Ye Zhong; Shi Da Cha; Wuyi Cai Cha; Mao Xie; Si Ji Chun; Ujihikari; Long Jing Qunti Zhong; Saemidori; Xing Ren Xiang; Okuhikari; Kirari 31; Okumidori; Chin Hsin; Inzatsu 131; Bei Dou; Hong Yun; Huang Guan Yin; Da Hong Pao; Zhi Lan Xiang; Anji Bai Cha; Tie Guan Yin; Fuding Da Bai; Kanayamidori; Shui Jin Gui; Cui Yu; Sofu; Shui Xian; Taiwanese Wild Tea; Qi Men Zhong; Tie Luo Han; Da Ye Zhong; Zi Juan; Song Zhong; Goko; Ben Shan; Benifuki; Jin Xuan; Hong Yu; Mengku Da Ye Zhong; Mi Lan Xiang; Tong Tian Xiang; Benihikari; Bai Ji Guan; Koshun; Qi Lan; Huangshan Qunti Zhong; Oku Yutaka; Rou Gui; Ying Xiang; Zhenghe Da Bai; Ya Shi Xiang; Wu Yi; Yutakamidori; Zairai; Qing Xin; Qing Xin Da Mao; Samidori; Asahi; Bai Wen; Komakage; Meiryoku; Mei Zhan; Liu An Gua Pian; Fo Shou; Ju Duo Zai; Long Jing #43; Da Yeh Oolong; Bi Luo Chun Qunti; Gui Hua Xiang; Que She; Huang Jin Gui; Mengding Ganlu; Ban Tian Yao; Ba Xian; Qing Xin Gan Zhi; Asatsuyu
126e0178-6529-4e21-b0d7-5b30cc16278d,"Fu'an City, Fujian",China,Fujian,300-700m,Mountain region supporting Da Bai cultivation,Da Hong Pao; English Breakfast; Ti Kuan Yin; Sencha; Matcha; Sheng; Darjeeling; Earl Grey,Shizu-7132; Yiwu Da Ye Zhong; Shi Da Cha; Wuyi Cai Cha; Mao Xie; Si Ji Chun; Ujihikari; Long Jing Qunti Zhong; Saemidori; Xing Ren Xiang; Okuhikari; Kirari 31; Okumidori; Chin Hsin; Inzatsu 131; Bei Dou; Hong Yun; Huang Guan Yin; Da Hong Pao; Zhi Lan Xiang; Anji Bai Cha; Tie Guan Yin; Fuding Da Bai; Kanayamidori; Shui Jin Gui; Cui Yu; Sofu; Shui Xian; Taiwanese Wild Tea; Qi Men Zhong; Tie Luo Han; Da Ye Zhong; Zi Juan; Song Zhong; Goko; Ben Shan; Benifuki; Jin Xuan; Hong Yu; Mengku Da Ye Zhong; Mi Lan Xiang; Tong Tian Xiang; Benihikari; Bai Ji Guan; Koshun; Qi Lan; Huangshan Qunti Zhong; Oku Yutaka; Rou Gui; Ying Xiang; Zhenghe Da Bai; Ya Shi Xiang; Wu Yi; Yutakamidori; Zairai; Qing Xin; Qing Xin Da Mao; Samidori; Asahi; Bai Wen; Komakage; Meiryoku; Mei Zhan; Liu An Gua Pian; Fo Shou; Ju Duo Zai; Long Jing #43; Da Yeh Oolong; Bi Luo Chun Qunti; Gui Hua Xiang; Que She; Huang Jin Gui; Mengding Ganlu; Ban Tian Yao; Ba Xian; Qing Xin Gan Zhi; Asatsuyu
939b79ec-c5ef-484a-ba4a-c0ce160bcc8e,"Zhengyan Area, Wuyi",China,Fujian,200-400m,"Core Wuyi area with unique rock soil, most prized for oolongs",Da Hong Pao; English Breakfast; Ti Kuan Yin; Sencha; Matcha; Sheng; Darjeeling; Earl Grey,Shizu-7132; Yiwu Da Ye Zhong; Shi Da Cha; Wuyi Cai Cha; Mao Xie; Si Ji Chun; Ujihikari; Long Jing Qunti Zhong; Saemidori; Xing Ren Xiang; Okuhikari; Kirari 31; Okumidori; Chin Hsin; Inzatsu 131; Bei Dou; Hong Yun; Huang Guan Yin; Da Hong Pao; Zhi Lan Xiang; Anji Bai Cha; Tie Guan Yin; Fuding Da Bai; Kanayamidori; Shui Jin Gui; Cui Yu; Sofu; Shui Xian; Taiwanese Wild Tea; Qi Men Zhong; Tie Luo Han; Da Ye Zhong; Zi Juan; Song Zhong; Goko; Ben Shan; Benifuki; Jin Xuan; Hong Yu; Mengku Da Ye Zhong; Mi Lan Xiang; Tong Tian Xiang; Benihikari; Bai Ji Guan; Koshun; Qi Lan; Huangshan Qunti Zhong; Oku Yutaka; Rou Gui; Ying Xiang; Zhenghe Da Bai; Ya Shi Xiang; Wu Yi; Yutakamidori; Zairai; Qing Xin; Qing Xin Da Mao; Samidori; Asahi; Bai Wen; Komakage; Meiryoku; Mei Zhan; Liu An Gua Pian; Fo Shou; Ju Duo Zai; Long Jing #43; Da Yeh Oolong; Bi Luo Chun Qunti; Gui Hua Xiang; Que She; Huang Jin Gui; Mengding Ganlu; Ban Tian Yao; Ba Xian; Qing Xin Gan Zhi; Asatsuyu
