name_english,name_native,description,origin_country,origin_region,development_year,parentage,also_known_as,plant_type,optimal_environment,geographic_distribution,tea_expressions,sensory_footprint,processing_suitability_details,oxidation_details,roasting_details,style_versatility
Ba Xian,八仙,"'Eight Immortals'. A powerful and assertive clonal Dan Cong cultivar, developed from eight cuttings of a venerable Song Zhong mother tree. It is renowned for its intense, almost aggressive fragrance and a strong, impactful flavor profile that sets it apart from more delicate floral types.",China,"Phoenix Mountains (Guangdong)",1990,"Clonal selection from a Song Zhong mother tree.","Eight Immortals Dan Cong","Vigorous arbor type with dark green, shiny leaves (Camellia sinensis var. sinensis).","Grows in the high-altitude, rocky terroir of the Phoenix Mountains, which provides the mineral foundation for its strong character.","{""china"": [""Guangdong Province (Chaozhou - Phoenix Mountains)""]}","{""Dan Cong Oolong"": {""Ba Xian Dan Cong"": ""A traditionally processed Dan Cong oolong where the processing is designed to highlight its powerful fragrance and 'cha qi' (tea energy).""}}","{""aroma"": ""Intense Orchid, Almond, sometimes a hint of spicy ginger"", ""flavor"": ""Strong, assertive, with a noticeable bitterness that quickly transforms into a sweet aftertaste (huigan)."", ""mouthfeel_liquor"": ""Full-bodied and impactful with a strong, energetic character. The liquor is a deep golden-amber.""}"","The processing of Ba Xian requires a firm hand to manage its inherent power. The leaves are robust and can handle significant bruising to develop their strong aromatic compounds.","Undergoes a medium-to-heavy oxidation (40-55%) to build a complex flavor base that can support its powerful aroma and assertive character.","Receives a medium charcoal roast. This helps to tame its natural intensity, integrate its flavors, and build a lasting, resonant finish without overpowering the core aroma.","Highly specialized. Ba Xian is a singular expression of a powerful, high-aroma Dan Cong oolong and is not used for other tea styles."
Long Jing #43,龙井43号,"The most widespread and commercially important modern cultivar for West Lake Long Jing tea. Developed in the 1970s, it is prized by farmers for its early budding (allowing for a prized pre-Qingming harvest), beautiful flat-leaf appearance, high yield, and a classic, approachable flavor profile of toasted chestnuts and sweet soybeans.",China,"Hangzhou (Zhejiang)",1970,"Selected from the native Long Jing Qunti Zhong population.","Longjing #43","Compact, early-sprouting bush with high productivity (Camellia sinensis var. sinensis).","Prefers the sandy loam soils and mild, humid climate of the West Lake region in Hangzhou. It is highly adaptable to similar environments.","{""china"": [""Zhejiang Province (Hangzhou - West Lake)"", ""Other parts of Zhejiang and other provinces as a generic Long Jing cultivar.""]}","{""Green Tea"": {""West Lake Long Jing"": ""This is its premier expression. The leaves are pan-fired in a wok to halt oxidation, creating a flat, smooth leaf with a nutty and savory flavor.""}}","{""aroma"": ""Toasted Chestnut, Sweet Soybean, Fresh Grass"", ""flavor"": ""Nutty, mellow, with a distinct savory (umami) quality and a clean, refreshing sweetness."", ""mouthfeel_liquor"": ""Smooth, mellow, and medium-bodied with low astringency. The liquor is a bright, clear yellow-green.""}","Processing Long Jing #43 is all about the pan-firing ('chao qing') step. A skilled tea master uses their hands to press the tender leaves against the hot wok, simultaneously drying them, halting oxidation, and shaping them into their iconic flat form.","Zero oxidation. The leaves are rushed to the wok for pan-firing immediately after harvesting to prevent any enzymatic oxidation from occurring, preserving their fresh green character.","No roasting. The high heat from pan-firing serves as the 'kill-green' and drying step. There is no separate roasting process.","Extremely specialized. Long Jing #43 was bred specifically for and is exclusively used to produce pan-fired Long Jing style green tea."
Long Jing Qunti Zhong,龙井群体种,"'Long Jing Population'. This is not a single cultivar, but the original, genetically diverse heirloom population of tea plants from the West Lake region, propagated by seed for centuries. Connoisseurs prize it for its deeper, more complex, and nuanced flavor profile compared to the more uniform modern clones like #43.",China,"Hangzhou (Zhejiang)",0,"The original, native seed-propagated heirloom population of West Lake.","Old Tree Long Jing, Heirloom Long Jing","Highly variable due to being a seed-grown population; includes a mix of bush sizes and growth habits (Camellia sinensis var. sinensis).","Grows in the core, historical production areas around West Lake in Hangzhou. The genetic diversity allows it to express the terroir with great complexity.","{""china"": [""Zhejiang Province (Hangzhou - Core West Lake scenic area, particularly Shifeng Mountain)""]}","{""Green Tea"": {""Heirloom West Lake Long Jing"": ""Its only expression. It is pan-fired in the same way as #43, but its genetic diversity often results in a less uniform appearance but a more complex flavor.""}}","{""aroma"": ""Deeper and more complex than #43, with nutty and floral notes, sometimes with hints of fruit."", ""flavor"": ""Rich, nuanced, and multi-layered with a more profound and longer-lasting sweetness (huigan)."", ""mouthfeel_liquor"": ""Often thicker and more viscous than #43, with a very smooth, complex texture. The liquor is a rich yellow-green.""}","Processing this heirloom population requires great skill, as the leaves are less uniform in size and moisture content than a clonal cultivar. The tea master must adapt their pan-firing technique to suit the specific batch of leaves.","Zero oxidation. Like all Long Jing, the leaves are immediately pan-fired after picking to lock in their freshness.","No roasting. The traditional pan-firing process is the sole heating and drying method used.","Completely specialized. This heirloom population is the historical and cultural soul of Long Jing tea and is only used to make this specific style of pan-fired green tea."
Anji Bai Cha,安吉白茶,"'Anji White Tea'. A fascinating and unique Chinese green tea cultivar. Despite its name, it is processed as a green tea. Its key characteristic is a temporary albinism in early spring, where low temperatures inhibit chlorophyll production, turning the leaves a pale, whitish-green. This results in a tea with an exceptionally high concentration of amino acids, creating a powerful umami and savory-sweet flavor.",China,"Anji (Zhejiang)",1982,"A natural mutation discovered in the wild. All modern plants are clones of the single 'mother tree'.","Anji White, Bai Ye Yi Hao (White Leaf #1)","Delicate, slow-growing bush that is highly sensitive to temperature fluctuations (Camellia sinensis var. sinensis).","Requires a specific microclimate with cool spring temperatures to trigger the albino phase. It is traditionally grown in the bamboo forests of Anji.","{""china"": [""Zhejiang Province (Anji County)"", ""Other regions in Zhejiang and Sichuan have begun cultivating it.""]}","{""Green Tea"": {""Anji Bai Cha"": ""Its sole expression. A very gently processed green tea designed to preserve its high amino acid content and delicate, savory flavor. The leaves are lightly pan-fired.""}}","{""aroma"": ""Steamed Asparagus, Toasted Nuts, savory chicken broth"", ""flavor"": ""Powerful Umami, savory, with an intense and lasting sweetness. Very low bitterness."", ""mouthfeel_liquor"": ""Light-bodied but with a surprisingly thick, savory, and soupy texture. The liquor is a very pale, almost clear jade color.""}","The processing of Anji Bai Cha is extremely gentle. The goal is to do as little as possible to the leaf to preserve the delicate amino acids that are responsible for its unique umami flavor. The leaves are fragile and handled with great care.","Zero oxidation. The leaves are lightly and quickly heated at a low temperature to halt all enzymatic activity immediately after picking.","No roasting. A gentle pan-firing or hot-air drying process is used to 'kill-green' and dry the leaves without imparting any roasted flavor.","Completely specialized. Its unique biochemical makeup means it is only suitable for producing this specific style of delicate, umami-rich green tea."
Bi Luo Chun Qunti,碧螺春群体,"'Bi Luo Chun Population'. The original, small-leaf heirloom population from the Dongting mountains, famous for producing one of China's top ten green teas. The bushes are traditionally interplanted with fruit trees (like apricot, plum, and loquat), and the tea is said to absorb their fragrance. The finished tea consists of tiny, downy buds that are hand-rolled into a distinctive spiral shape.",China,"Dongting, Jiangsu",0,"The native, seed-propagated heirloom population of the Dongting mountains.","Dongting Bi Luo Chun","Small, sprawling bushes with a less upright habit (Camellia sinensis var. sinensis).","Grows in the unique microclimate of the Dongting peninsula on Lake Tai, where the lake effect moderates temperatures and the soil is ideal. Intercropping with fruit trees is key to the traditional terroir.","{""china"": [""Jiangsu Province (Suzhou - Dongting East and West mountains)""]}","{""Green Tea"": {""Dongting Bi Luo Chun"": ""A very early spring green tea made from tiny, tender, and extremely downy buds. It is pan-fired and hand-rolled into tight spirals.""}}","{""aroma"": ""Intensely fruity and floral, savory, with a distinct 'xia sha xiang' (frighteningly intense aroma)"", ""flavor"": ""Strong umami, sweet, with complex fruity and vegetal notes and a long, refreshing finish."", ""mouthfeel_liquor"": ""Thick, brothy, and very smooth. The abundant white down on the buds creates a rich, soupy texture. The liquor is a bright yellow-green.""}","The processing is incredibly laborious. The tiny, tender buds are pan-fired in a wok and simultaneously hand-rolled into their characteristic tight spiral shape. This requires immense skill to do without crushing the delicate buds.","Zero oxidation. The tea is pan-fired immediately after being picked to preserve its fresh, vibrant character.","No roasting. The pan-firing process serves to both kill-green and dry the tea.","Completely specialized. This heirloom cultivar is inextricably linked to the unique hand-processing and terroir of Dongting Bi Luo Chun."
Huangshan Qunti Zhong,黄山群体种,"'Huangshan Population'. The local, genetically diverse heirloom population of tea plants from the famous Huangshan (Yellow Mountain) scenic area. This is the authentic material for creating Huangshan Maofeng, a beloved green tea known for its light, sweet, and refreshingly floral character, often with notes of magnolia.",China,"Huangshan, Anhui",0,"The native, seed-propagated heirloom population of the Huangshan scenic area.","Huangshan Maofeng","Variable growth habits due to genetic diversity; typically medium-sized bushes (Camellia sinensis var. sinensis).","Grows at high altitudes (700-800m) in the cloudy, misty, and cool environment of Huangshan. The rich soil and constant cloud cover create a very sweet and tender leaf.","{""china"": [""Anhui Province (Huangshan - particularly the areas around Taohua Feng (Peach Blossom Peak))""]}","{""Green Tea"": {""Huangshan Maofeng"": ""Its sole expression. A gently processed green tea consisting of a bud and one or two leaves. It is lightly baked rather than pan-fired, preserving a fresh, floral character.""}}","{""aroma"": ""Fresh cut grass, elegant floral notes like Magnolia and Orchid"", ""flavor"": ""Naturally sweet, light, and refreshing with no bitterness and a clean, long-lasting floral aftertaste."", ""mouthfeel_liquor"": ""Smooth, light, and mellow with a very clean texture. The liquor is a clear, pale apricot color.""}","The processing of Huangshan Maofeng is simpler than many famous teas. After a short withering, the leaves undergo a 'kill-green' and shaping process in a large pan, followed by a careful baking process to dry.","Zero oxidation. The 'kill-green' step is done quickly after harvest to lock in the fresh, vegetal and floral notes of the leaf.","The key step is a low-temperature bake ('hong bei'). Unlike the high heat of pan-firing, this gentle baking process slowly removes moisture while preserving the tea's delicate floral aroma and natural sweetness.","Completely specialized. This heirloom population is used exclusively to make the sweet, floral green tea known as Huangshan Maofeng."
Shi Da Cha,柿大茶,"'Persimmon Big Tea'. A truly unique and visually stunning cultivar from Taiping county in Anhui. It is defined by its massive leaves, which can be much larger than a person's hand. It is used exclusively to make Tai Ping Hou Kui, a green tea where the leaves are painstakingly pressed by hand, resulting in a long, flat, and beautiful finished product.",China,"Taiping, Anhui",1901,"A local, large-leaf mutation of C. sinensis var. sinensis.","Persimmon Big Tea, Tai Ping Hou Kui cultivar","Large, robust bush with very strong branches to support its massive leaves (Camellia sinensis var. sinensis).","Grows in the misty, mountainous region of the former Taiping prefecture (now Huangshan district), where the specific microclimate allows these large leaves to grow tenderly.","{""china"": [""Anhui Province (Huangshan City - former Taiping County area)""]}","{""Green Tea"": {""Tai Ping Hou Kui ('Peaceful Monkey Leader')"": ""Its only expression. A green tea where individual, massive leaves are pan-fired and then pressed flat between layers of cloth, creating a visually unique tea with a powerful orchid aroma.""}}","{""aroma"": ""Powerful and lingering Orchid fragrance, fresh, clean, and slightly vegetal"", ""flavor"": ""Mellow, sweet, and smooth with a deep, lasting floral sweetness and no bitterness."", ""mouthfeel_liquor"": ""Thick, soupy, and incredibly smooth with a very refreshing character. The liquor is a clear, bright green-yellow.""}","The processing is highly specialized and laborious. After kill-green, each individual leaf is placed between layers of cloth and hand-pressed with rollers to create its flat, uniform shape. This requires immense patience and skill.","Zero oxidation. The massive leaves are quickly pan-fired to halt enzymatic activity and preserve their vibrant green color and fresh aroma.","A gentle baking process follows the hand-pressing to slowly and evenly dry the large, thick leaves without scorching them or creating a roasted flavor.","Completely specialized. This unique, giant-leaf cultivar exists only to be made into the singular and iconic Tai Ping Hou Kui."
Da Ye Zhong,大叶种,"'Big Leaf Variety'. This is not a single clonal cultivar but rather the botanical varietal Camellia sinensis var. assamica, which is native to Yunnan province and the surrounding regions. It is the genetic mother of all Yunnan teas, characterized by its large leaves and ability to grow into a tall tree. It forms the basis for the rich, complex flavors of Pu'er and the malty sweetness of Dian Hong black tea.",China,"Yunnan",0,"The native, wild-growing botanical varietal of the region.","Yunnan Big Leaf","A true tree (arbor) that can grow many meters tall, with a strong trunk and large canopy (Camellia sinensis var. assamica).","Grows in the subtropical, mountainous, and high-rainfall environment of Yunnan province. Ancient tea forests with trees hundreds of years old are highly prized.","{""china"": [""Yunnan Province (all tea regions like Xishuangbanna, Lincang, Pu'er)"", ""Other provinces like Guangdong and Guangxi also cultivate it.""]}","{""Pu'er Tea"": {""Sheng (Raw) Pu'er"": ""Sun-dried green tea pressed into cakes for aging, yielding floral, fruity, and bitter notes when young, and deep, earthy, camphor notes when aged."", ""Shu (Ripe) Pu'er"": ""Artificially fermented green tea that mimics aging, resulting in a smooth, dark, earthy, and chocolatey profile.""}, ""Black Tea"": {""Dian Hong"": ""A fully oxidized black tea known for its malty, sweet potato, and caramel flavors, often with beautiful golden tips.""}}","{""aroma"": ""Highly variable: floral, fruity, camphor (Pu'er); malty, chocolate, sweet potato (Black)"", ""flavor"": ""Robust, complex, often with a pleasant bitterness that transforms to sweetness (huigan)."", ""mouthfeel_liquor"": ""Thick, full-bodied, and powerful with a long and dynamic finish. Liquor ranges from bright yellow (young Pu'er) to deep red (Black) to black (ripe Pu'er).""}","Its versatility is its key trait. For Pu'er, the leaves are pan-fired to kill-green, then crucially, sun-dried, which preserves certain enzymes for aging. For Dian Hong, the leaves are withered, rolled, and fully oxidized before being oven-dried.","Oxidation varies by tea type. Sheng Pu'er has minimal oxidation from processing but ages over time. Shu Pu'er is post-fermented via microbial activity. Dian Hong is 100% oxidized.","No roasting is used for Pu'er, as sun-drying is essential. For Dian Hong, a final oven-drying bake is used to stabilize the tea.","Extremely versatile. This single botanical varietal is the foundation for the entire universe of Pu'er teas (both raw and ripe) and the famous Dian Hong black teas, making it one of the most important tea plants in the world."
Zi Juan,紫娟,"'Purple Juan'. A unique and modern Yunnan cultivar developed from a natural purple-leaf mutation of the Da Ye (Assamica) varietal. Its most striking feature is its deep purple leaves, buds, and stems, a result of a very high concentration of anthocyanins. The finished tea has a distinct flavor profile, often with berry-like and slightly medicinal notes.",China,"Yunnan",1990,"A clonal selection from a natural purple-leaf mutation of C. sinensis var. assamica.","Purple Beauty","Upright, medium-sized bush with a striking purple coloration throughout the plant (Camellia sinensis var. assamica).","Grown in the high-altitude tea regions of Yunnan, where strong sunlight is thought to enhance its purple pigmentation.","{""china"": [""Yunnan Province (various regions, often as a specialty crop)""]}","{""Green Tea"": {""Purple Needle"": ""A sun-dried green tea (similar to Sheng Pu'er processing) that highlights its unique briskness and color.""}, ""Black Tea"": {""Purple Black"": ""A fully oxidized tea that has a unique reddish-purple liquor and a fruity, slightly astringent flavor.""}, ""Pu'er Tea"": {""Purple Pu'er"": ""Can be pressed into cakes like traditional Sheng Pu'er, valued for its unique character and appearance.""}}","{""aroma"": ""Berry-like, herbal, slightly floral"", ""flavor"": ""Noticeably astringent and sometimes bitter, with fruity notes reminiscent of purple berries and a slightly medicinal finish."", ""mouthfeel_liquor"": ""Brisk and astringent with a unique mouthfeel. The liquor has a fascinating color, often greenish with purple or reddish hues.""}"","Processing Zi Juan requires care to manage its higher-than-average astringency and bitterness. The processing method (green, black, or Pu'er) dramatically changes its final flavor profile.","Oxidation levels can vary from none (green/Pu'er) to full (black tea). Full oxidation can help to mellow some of its natural astringency.","No roasting is typically applied. Like Pu'er, it is often sun-dried for green tea styles, or oven-dried for black tea styles.","Moderately versatile. It can be crafted into several different types of tea, but its unique and assertive flavor profile means it will always be a niche, specialty product rather than a mainstream tea."
Qi Men Zhong,祁门种,"'Qimen Species'. This is not a single clone, but the local heirloom population of small-leaf tea bushes from Qimen county, Anhui. It is the one and only material used for making Keemun black tea. When processed into black tea, it produces a famously complex aroma with notes of wine, rose, pine, and dried fruit, earning it the title 'the Burgundy of tea'.",China,"Qimen (Anhui)",1875,"The native, local heirloom population of Qimen county.","Keemun","Small-leaf, genetically diverse bushes adapted to the local terroir (Camellia sinensis var. sinensis).","Grows in the mild, humid, and often foggy climate of Qimen county in southern Anhui, where the soil and environment are perfect for developing its complex aromatics.","{""china"": [""Anhui Province (Qimen county and surrounding areas)""]}","{""Black Tea"": {""Keemun (Qimen Hongcha)"": ""Its only expression. A world-famous black tea known for its incredible aromatic complexity. Different grades exist, like Hao Ya (downy buds) and Mao Feng (pointed leaves).""}}","{""aroma"": ""Complex notes of red wine, rose, pine, dried plum, and a hint of orchid or smoke"", ""flavor"": ""Smooth, mellow, and complex with a slight smokiness and a sweet, lingering floral finish."", ""mouthfeel_liquor"": ""Medium-bodied, very smooth, and silky with low astringency. The liquor is a brilliant, clear red.""}"","The key to producing Keemun's unique aroma is a slow, carefully controlled withering and oxidation process. This allows the full range of aromatic compounds within the Qi Men Zhong leaves to develop.","Undergoes full oxidation (100%). The oxidation process is meticulous and often takes longer than for other black teas, which is crucial for building its signature layered aroma.","A final, gentle drying bake is applied to stabilize the tea and halt oxidation. It is not roasted in a way that would impart a toasty flavor.","Completely specialized. The Qi Men Zhong population is only used to produce Keemun black tea. Its global fame is entirely dependent on this one style."
