id,type,name,chineseName,altNames,region
green-longjing,Green,Longjing,龙井,Dragon Well;Long Jing,Hangzhou
green-biluochun,Green,Biluochun,碧螺春,Pi Lo Chun;Bi Luo Chun,Suzhou
green-anji-bai-cha,Green,Anji Bai Cha,安吉白茶,Anji White Tea,Anji
green-mo-gan-huang-ya,Green,Mo Gan Huang Ya,莫干黄芽,,Zhejiang
green-zhu-cha,Green,Zhu Cha,珠茶,Gunpowder,Zhejiang
green-chun-mee,Green,Chun Mee,珍眉,Zhenmei;Pearl Eyebrow,
green-young-hyson,Green,Young Hyson,熙春,,
green-huang-shan-mao-feng,Green,Huang Shan Mao Feng,黄山毛峰,Huangshan Mao Feng,Huangshan
green-tai-ping-hou-kui,Green,Tai Ping Hou Kui,太平猴魁,Monkey King,Taiping
green-liu-an-gua-pian,Green,Liu An Gua Pian,六安瓜片,Melon Seed Tea,Lu'an
green-ding-gu-da-fang,Green,Ding Gu Da Fang,顶谷大方,,Anhui
green-nanjing-yuhua,Green,Nanjing Yuhua,南京雨花茶,Rain Flower Tea,Nanjing
green-xinyang-mao-jian,Green,Xinyang Mao Jian,信阳毛尖,,Xinyang
green-duyun-mao-jian,Green,Duyun Mao Jian,都匀毛尖,,Guizhou
green-mengding-gan-lu,Green,Mengding Gan Lu,蒙顶甘露,Sweet Dew,Ya'an
green-mengding-xian-cha,Green,Mengding Xian Cha,蒙顶仙茶,,Ya'an
green-zhu-ye-qing,Green,Zhu Ye Qing,竹叶青,Bamboo Leaf Green,Emei Mountain
green-lu-shan-yun-wu,Green,Lu Shan Yun Wu,庐山云雾,Cloud Mist,Lushan
green-enshi-yu-lu,Green,Enshi Yu Lu,恩施玉露,Jade Dew,Enshi
green-yuan-an-lu-yuan,Green,Yuan An Lu Yuan,远安鹿苑,,Yuan'an
green-mao-jian,Green,Mao Jian,毛尖,Hair Tip,
green-mao-feng,Green,Mao Feng,毛峰,Fur Peak,
green-que-she,Green,Que She,雀舌,Sparrow Tongue,
green-ya-bao,Green,Ya Bao,芽苞,Wild Yunnan Buds,Yunnan
green-gyokuro,Green,Gyokuro,玉露,Jade Dew,Uji
green-sencha,Green,Sencha,煎茶,,
green-shincha,Green,Shincha,新茶,New Tea;First Harvest,
green-kabusecha,Green,Kabusecha,かぶせ茶,Covered Tea,
green-tencha,Green,Tencha,碾茶,,
green-matcha,Green,Matcha,抹茶,,Uji
green-genmaicha,Green,Genmaicha,玄米茶,Brown Rice Tea,
green-hojicha,Green,Hojicha,ほうじ茶,Roasted Green Tea,
green-bancha,Green,Bancha,番茶,,
green-kukicha,Green,Kukicha,茎茶,Twig Tea;Bocha,
