id,name,chinese_name,alt_names,kind,country,region,founded,notable_marks,description
menghai-tea-factory,"Menghai Tea Factory",勐海茶厂,"Menghai;Dayi;Taetea;大益",factory,China,"Xishuangbanna Prefecture",1940,"7572","State-founded pu-erh factory in Menghai county, Xishuangbanna, Yunnan, drawing leaf from gardens across the region since the 1940s. Now privatized and sold under the Dayi/Taetea brand. The 7572 shou recipe (1975 formula, grade 7 leaf, factory number 2) is its benchmark product."
xiaguan-tea-factory,"Xiaguan Tea Factory",下关茶厂,"Xiaguan;下關茶廠",factory,China,"Dali",1941,"","One of Yunnan's oldest and most important tea factories, based in Dali. Known primarily for tuo cha and tightly compressed iron cakes, with a house style favoring firm compression and an assertive, smoke-tinged character that starts aggressive and opens up with age."
china-national-tea-corporation,"China National Tea Corporation",中国茶叶公司,"CNNP;Zhong Cha;中茶;Zhongcha;China Tea Corporation",brand,China,"Yunnan","","Zhong Cha trademark (中茶牌);Red Seal (紅印);Blue Seal Green Label (蓝印绿标)","State tea trading corporation whose Zhong Cha trademark, the eight-pointed 'zhong' character in a red circle, appeared on pu-erh produced by multiple state-run and later privatized Yunnan factories across decades. The colored-seal classifications (Red Seal, Blue Seal) it used to grade production batches are among the most collected designations in pu-erh history."
wuzhou-tea-factory,"Wuzhou Tea Factory",梧州茶厂,"San He;Three Cranes;三鹤",factory,China,"Wuzhou",1953,"San He (Three Cranes, 三鹤)","Guangxi factory producing liu bao dark tea since 1953, sited along the Xijiang river in Wuzhou. Its San He (Three Cranes) brand is the most recognized name in liu bao and is known for a cleaner, more refined fermentation profile than village-produced liu bao."
liao-fu,"Liao Fu",廖福,"","unknown",China,"Cangwu","","Jia Ji (甲级);Wan Yan AAA (万言AAA)","A recognized name in Cangwu, Guangxi dark tea production, appearing across grades from standard loose leaf up to a premium Wan Yan AAA classification. Whether Liao Fu is a factory, house, or family producer is not stated in the source write-ups."
kunming-tea-factory,"Kunming Tea Factory",昆明茶厂,"","factory",China,"Yunnan","","","State-run Yunnan factory credited, per this collection's own write-up, with developing wo dui (wet-piling) fermentation for shou pu-erh in 1973. Referenced as historical context in one product's write-up rather than confirmed as that product's own producer."
xinghai-tea-factory,"Xinghai Tea Factory",兴海茶厂,"Xinghai;兴海","factory",China,"Yunnan","","","Named only in one product's title (Xinghai Aged Sheng Cha). That product's write-up body is empty, so nothing beyond the name is confirmed by Adrian's own source material."
qiaorui,"Qiaorui",乔瑞,"","unknown",China,"Yunnan","","Gong Jin (贡金)","Named in one product's title (Qiaorui Gong Jin), paired with a tribute-grade 'gong jin' (gold brick) designation. The product's prose describes the grade classification generically without confirming Qiaorui's own identity as factory, house, or brand."
hengfengyuan,"Hengfengyuan",恒丰源,"","unknown",China,"Yunnan","","Golden Bull (金牛)","Named only in one sample product's title (Golden Bull Hengfengyuan Shou Cha). That product carries no prose body, so nothing beyond the name and its Golden Bull grade mark is confirmed by the source material."
tongqinghao,"Tongqinghao",同慶號,"Tong Qing Hao;同庆号",house,China,"Yunnan","","","One of the oldest known pu'erh houses, with origins traced to the late Qing dynasty in Yiwu. Original antique Tongqinghao cakes from the early 1900s are among the most expensive teas ever sold at auction. Whether this 1980 production maintains the original Yiwu sourcing is uncertain."
