name_english,name_native,description,origin_country,origin_region,development_year,scientific_name,historical_background,growth_habits,leaf_characteristics,image_url,harvest_seasons,processing_suitability
Anji Bai Cha,安吉白茶,"'Anji White Tea'. A fascinating and unique Chinese green tea cultivar. Despite its name, it is processed as a green tea. Its key characteristic is a temporary albinism in early spring, where low temperatures inhibit chlorophyll production, turning the leaves a pale, whitish-green. This results in a tea with an exceptionally high concentration of amino acids, creating a powerful umami and savory-sweet flavor.",China,Anji (Zhejiang),1982,,,,,,,
Asahi,あさひ,"'Morning Sun'. An old and revered elite cultivar from Uji, Kyoto. It is considered one of the absolute highest-grade cultivars for Matcha production, prized for its supremely elegant, profoundly sweet, and umami-rich profile with almost no bitterness. It is often used for top-tier, ceremonial-grade Matcha.",Japan,Kyoto (Uji),1950,,,,,,,
Asatsuyu,あさつゆ,"'Morning Dew'. A legendary cultivar often referred to as a 'natural Gyokuro' due to its intense, sweet umami flavor, even when grown unshaded as Sencha. It is one of the parents of the elite Saemidori cultivar and is prized by connoisseurs for its powerful, savory, and sweet character, though it can be difficult to cultivate.",Japan,Kyoto,1953,,,,,,,
Ba Xian,八仙,"'Eight Immortals'. A powerful and assertive clonal Dan Cong cultivar, developed from eight cuttings of a venerable Song Zhong mother tree. It is renowned for its intense, almost aggressive fragrance and a strong, impactful flavor profile that sets it apart from more delicate floral types.",China,Phoenix Mountains (Guangdong),1990,,,,,,,
Bai Ji Guan,白鸡冠,"'White Cockscomb'. A rare and unique member of the 'Si Da Ming Cong', Bai Ji Guan stands apart from all other Wuyi oolongs. It is named for its peculiar pale, yellowish-green leaves and is processed with a much lighter hand, resulting in a creamy, sweet, and custardy flavor profile that contrasts sharply with the dark, roasty character of its famous brethren.",China,Wuyi Mountains (Fujian),1368,,,,,,,
Bai Wen,白文,"'White Hairs'. A modern cultivar developed by TRES specifically for the production of leafhopper-bitten teas like Oriental Beauty. It was designed to be a more productive and pest-resistant alternative to the traditional Qing Xin Da Mao cultivar, while still being able to produce the signature honey-fruit fragrance when bitten by the tea leafhopper.",Taiwan,"Hsinchu, Miaoli",2000,,,,,,,
Ban Tian Yao,半天腰,"'Half-way to the Sky'. A classic Wuyi Rock Oolong named for the legend of its original bush growing halfway up a cliff. It is celebrated for its perfect balance and elegance, often described as the ideal middle-ground Yancha—lacking the sharp spice of Rou Gui or the deep woodiness of Shui Xian, it instead offers a clear, sweet, and floral profile.",China,Wuyi Mountains (Fujian),1644,,,,,,,
Bei Dou,北斗,"'North Star'. A prestigious Wuyi Rock Oolong cultivar directly descended from the legendary Da Hong Pao lineage. It is renowned for its powerful and robust character, thick body, and a classic roasted flavor profile that is both complex and deeply satisfying, making it a favorite among seasoned Yancha drinkers.",China,Wuyi Mountains (Fujian),1960,,,,,,,
Ben Shan,本山,"'Original Mountain'. A close genetic relative of Tie Guan Yin from the neighboring mountains of Anxi. Ben Shan is known for producing a lighter-bodied oolong with a very clear, high-pitched floral aroma, often described as being more straightforward and less complex than its famous cousin. It is a popular and more affordable daily-drinker oolong.",China,Anxi (Fujian),Qing Dynasty,,,,,,,
Benifuki,べにふうき,"'Red Riches'. Japan's most famous and important black tea cultivar. It is a powerful hybrid of Assamica varieties, bred to produce a robust, full-bodied black tea with a strong astringency and notes of plum and citrus. It is also famous for its high content of methylated catechins, which are studied for their anti-allergic properties.",Japan,Kagoshima,1993,,,,,,,
Benihikari,べにひかり,"'Red Light'. A classic Japanese black tea cultivar with Darjeeling lineage. Compared to the robust Benifuki, Benihikari is known for being more aromatic, elegant, and less astringent, often with a distinct floral and muscatel-like aroma reminiscent of a second-flush Darjeeling.",Japan,Kagoshima,1969,,,,,,,
