"id","name","chinese_name","alt_names","applies_to_types","region","description"
"xiao-qing-gan","Xiao Qing Gan","小青柑","Green Mandarin Puerh","Shou","Xinhui, Guangdong","Ripe (shou) pu-erh packed inside a hollowed, unripe green mandarin orange, then dried together so the citrus oil infuses the tea. A traditional Cantonese preparation with roots in Chinese herbal medicine; the mandarins come from Xinhui district in Jiangmen, Guangdong, while the pu-erh comes from Yunnan."
"qi-zi-bing","Qi Zi Bing","七子饼","Seven Sons Cake Tea; Seven-Son Cake","Sheng; Shou","Yunnan","The standard 357-gram pu-erh cake format pressed for over a century, named for the traditional practice of wrapping seven cakes together into one bamboo tong (basket) for trade and transport."
"tie-bing","Tie Bing","铁饼","Iron Cake","Sheng; Shou","","A pu-erh cake pressed hydraulically to extreme density rather than with a traditional stone mold. The heavier compression slows aging and concentrates flavor, and can create distinct flavor zones between a cake's interior and exterior."
"bai-liang-hua-juan","Bai Liang","花卷茶","Hua Juan; Hundred Liang Tea","Dark","Anhua, Hunan","A monumental Anhua dark tea traditionally wrapped in patterned bamboo bark and pressed into cylindrical columns of over three kilograms, originally produced for the tea-horse trade routes. The hua juan (花卷) name refers to the pattern of the bamboo wrapping."
"kang-brick","Kang Brick","康磚","Kang Zhuan; Ya'an Kang Brick; Border Tea; Zang Cha","Dark","Ya'an, Sichuan","A traditional Tibetan border tea (藏茶) pressed for centuries in Ya'an, Sichuan, as tea for the Tea Horse Road trade to Tibet. Made from mature, coarse leaf and stems, heavily fermented and compressed into a dense brick built to survive transport by yak caravan."
"bamboo-tube","Bamboo Tube","竹筒茶","Zhu Tong Cha","","Xishuangbanna, Yunnan","Tea packed into fresh-cut bamboo segments and roasted or dried, a traditional preparation among the Dai, Hani and other ethnic minorities of Xishuangbanna, Yunnan. The bamboo imparts its own fragrance into the tea, becoming part of its identity over time."
"gaba-oolong","GABA Oolong","GABA乌龙","","Oolong","","Oolong finished with an anaerobic step: withered leaf is sealed in a nitrogen-rich, oxygen-free chamber before a light roast. The anaerobic oxidation converts glutamic acid into gamma-aminobutyric acid (GABA), a compound associated with relaxation. First developed by Japanese researchers in 1987."
"basket-tea","Basket Tea","篮茶","Basket-Aged","Dark","","Dark tea packed loose into bamboo baskets lined with bamboo leaves and sealed for long-term aging, historically used for Liu An (Anhui) and Liu Bao (Guangxi). The bamboo lining creates a micro-environment that slowly flavors the tea over decades, distinct from cedar or camphor storage."
"wet-stored","Wet-Stored","湿仓","Shi Cang; Wet Storage","Sheng","","A deliberate pu-erh aging technique where cakes are kept in high-humidity environments to accelerate post-fermentation transformation, common in Hong Kong and Southeast Asian tea culture. Considered controversial among purists; the result depends entirely on the skill of the storage."
"camphor-stored","Camphor-Stored","樟香","Zhang Xiang; Camphor Fragrance","Sheng; Shou","","Aging pu-erh in proximity to camphor wood, whether camphor-lined warehouses or nearby camphor trees, a traditional Chinese storage method. Imparts a cool, aromatic quality into the tea that persists regardless of later re-storage."
